#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7401.807479468728     All      0.1627753763817261         0.008077124141969705       0.24740504316493883        -0.03934975938962859      
Zeropoint     AB|SDSS|SDSS_r            5133.836490665851     All      0.7363111576565025         0.3495059499147857         0.09483895446087409        -0.12176295471680032      
Zeropoint     AB|SDSS|SDSS_g            3928.8530950117683    All      -1.0815446090685863        0.5735879755331297         -0.8041054875982834        0.503247600260831         
Zeropoint     AB|SDSS|SDSS_i            6225.674048165876     All      1.1815156769168087         0.06743497107137841        0.46649372262856925        -0.34207526574766         
Check         All|All|All               All                   All      0.9990576018864508         0.9986060206612635         0.0046322326560988         5.9620406742122434e-05    
Lambda        AB|SDSS|SDSS_z            7401.807479468728     All      -9.115750734635383e-06     1.935485665040421e-06      1.9923482699629323e-05     4.488844797890887e-06     
Lambda        AB|SDSS|SDSS_r            5133.836490665851     All      -0.00014309484617788947    3.612063781380953e-05      -0.0023158922539630866     -4.497125563558434e-05    
Lambda        AB|SDSS|SDSS_g            3928.8530950117683    All      -0.0011164123897459662     0.000716514852054319       -0.00013818263410556646    0.0005908782478592256     
Lambda        AB|SDSS|SDSS_i            6225.674048165876     All      0.00017407987640519969     -2.0505264191872607e-06    8.070246949537286e-05      -5.377008615749865e-05    
MWEBV         All|All|All               All                   All      -0.5767219284803708        -3.2264370595839864        0.010708366489065035       -0.8626215260243042       
Redshift      All|All|All               All                   All      5.641965182727067          -0.18181264634051786       3.740077716163115          -1.7300935446101755       
