#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4269.705017961667    All      -0.8737422238022707        0.8012678109258431         1.4603271225115622         0.6107735669420841        
Zeropoint     AB|CNIa02|SDSS_r                      6022.823469038752    All      1.19280480341723           -0.1303731150628984        -0.6444200052832194        -0.45976008443124744      
Zeropoint     AB|CNIa02|SDSS_i                      7303.726138542394    All      0.6586303070918312         0.03219516453727422        1.9149631160285452         -0.11859452627317468      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5341.62561074039     All      0.020980904664337857       0.2975587116159417         -2.697376932534379         -0.030281053031142036     
Check         All|All|All                           All                  All      0.9986737913711282         1.0006485720161606         0.03349330072250911        0.002137903206519909      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4269.705017961667    All      -0.00025270036994513444    6.536788621650774e-06      -0.0011287258723523084     3.407221956173255e-05     
Lambda        AB|CNIa02|SDSS_r                      6022.823469038752    All      -0.0001552910245454836     -1.5541255852117764e-05    -0.00017979008668652486    3.7497891471437106e-05    
Lambda        AB|CNIa02|SDSS_i                      7303.726138542394    All      -0.00017789007979158091    2.4689321943823773e-05     -0.00023566048375496038    5.5470330769047266e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5341.62561074039     All      -4.646977205408884e-05     2.796781451540352e-05      -0.00041745007435673874    5.6178913298433715e-06    
MWEBV         All|All|All                           All                  All      -0.8481335474408209        -3.94840658786606          0.3250294422489475         -0.9953563540186102       
Redshift      All|All|All                           All                  All      5.959316882825341          -0.25803289186931977       -1.3470126051955411        -2.0853063523148045       
