#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4269.705017961667    All      -0.8123616432704572        0.8026405996909958        1.482139700389946          0.5922004501351387         
Zeropoint     AB|CNIa02|SDSS_r                      6022.823469038752    All      1.240236700781017          -0.18526196031825037      -1.0340493652651348        -0.5104766853878147        
Zeropoint     AB|CNIa02|SDSS_i                      7303.726138542394    All      0.7434916332701045         0.023090313975249188      2.1905879474909074         -0.1369025311037788        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5341.62561074039     All      -0.1730104655521763        0.3620798332388375        -2.591508985203037         0.0586493706248201         
Check         All|All|All                           All                  All      0.998356225228488          1.002548786586832         0.04716929741268139        0.0034706042683652974      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4269.705017961667    All      -0.0003374305563526555     0.00011881373712397716    -0.0008062969705922415     0.0001126324457672624      
Lambda        AB|CNIa02|SDSS_r                      6022.823469038752    All      -4.952510582894864e-05     -6.873611687637897e-06    -0.00012908433264555562    8.132553931227892e-06      
Lambda        AB|CNIa02|SDSS_i                      7303.726138542394    All      -0.00014837492188699507    2.4830937631143078e-05    -0.00019689303723535232    4.763241479377684e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5341.62561074039     All      -6.106881858697844e-05     2.4401962210771417e-05    -0.000918797937070764      -1.3161086834183983e-05    
MWEBV         All|All|All                           All                  All      -0.831475510621849         -3.9535426160542286       0.3494523113550708         -1.0013655175168519        
Redshift      All|All|All                           All                  All      5.9514394995711495         -0.46615319568124036      3.9161725041495967         -1.9156602808416596        
