#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3706.4528034895875    All      -1.1487191938979793        0.39538134918331025       -0.7783053864532072        0.4682321515104887         
Zeropoint     AB|SDSS|SDSS_r            4843.225794735039     All      0.9070009545872696         0.5058086026709319        1.6939029042762639         -0.05509044105227673       
Zeropoint     AB|SDSS|SDSS_i            5873.257785773144     All      1.1113452428010138         0.08395850092739465       -1.145043579435974         -0.38575169780337054       
Zeropoint     AB|SDSS|SDSS_z            6982.813920428574     All      0.12878281130017188        0.013896847159244885      0.23821293586438552        -0.02679178890146781       
Check         All|All|All               All                   All      0.9984098147904759         0.9990452999408816        0.00876687425146827        0.0005982237533736119      
Lambda        AB|SDSS|SDSS_g            3706.4528034895875    All      -0.0020446540680156416     0.0005570809026164639     -0.002800355587331178      0.000722503666178415       
Lambda        AB|SDSS|SDSS_r            4843.225794735039     All      -0.00010067082009589893    -5.683082770309794e-05    -0.0009078365839689363     -2.6232449384672085e-05    
Lambda        AB|SDSS|SDSS_i            5873.257785773144     All      -0.0001698990550122241     -3.027855693627012e-06    0.00031619949741058367     6.846597083512933e-05      
Lambda        AB|SDSS|SDSS_z            6982.813920428574     All      -6.494954424914905e-05     -6.512056478268732e-06    -0.00012010024789079417    1.3675489840339257e-05     
MWEBV         All|All|All               All                   All      -0.5491365898446401        -2.9407064237943814       0.10224211981610681        -0.7744503790016074        
Redshift      All|All|All               All                   All      4.833741417003881          -0.5845392014233397       4.335160126923795          -1.5714539677650363        
