#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3706.4528034895875    All      -1.0103249170932984        0.41275743829363165       -0.0387808546841617        0.46181412973785013        
Zeropoint     AB|SDSS|SDSS_r            4843.225794735039     All      0.763494762520759          0.4927575285067931        0.9414436351776523         -0.046175718565025226      
Zeropoint     AB|SDSS|SDSS_i            5873.257785773144     All      1.0819170018889483         0.07764287214655496       -1.1651963998780435        -0.37912248746765          
Zeropoint     AB|SDSS|SDSS_z            6982.813920428574     All      0.16176414982944204        0.015153878277018862      0.2639098022451769         -0.03597870639896871       
Check         All|All|All               All                   All      0.996850997145851          0.9983117172239986        0.00137618286062402        0.0005372173062062127      
Lambda        AB|SDSS|SDSS_g            3706.4528034895875    All      -0.0020395846923007954     0.0005891907847361915     -0.0026231172192899056     0.0007392209830600229      
Lambda        AB|SDSS|SDSS_r            4843.225794735039     All      -6.499696980090392e-05     -2.581804268000737e-05    -0.0005402253581723261     -1.1345911058212418e-05    
Lambda        AB|SDSS|SDSS_i            5873.257785773144     All      -0.00015542405119109315    -6.707345009764146e-06    0.00021123053062554632     5.7868172272647837e-05     
Lambda        AB|SDSS|SDSS_z            6982.813920428574     All      -6.990643630267734e-05     -5.201173643145605e-06    -0.00010771773651376505    1.6269684937181086e-05     
MWEBV         All|All|All               All                   All      -0.5526483308074441        -2.942362345967098        0.06342457211923058        -0.7755781266382147        
Redshift      All|All|All               All                   All      4.5368611298279395         -0.9870094834761645       2.7102955614060065         -1.6783583457301243        
