#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4797.758584505436    All      0.4667922968084072         0.32510459510337597       1.513736292772505          0.021398752574854074      
Zeropoint     AB|SDSS|SDSS_g            3671.657384906057    All      -0.9227195041479916        0.5418964251793668        -0.12744473360786213       0.47138631948634574       
Zeropoint     AB|SDSS|SDSS_i            5818.120846510744    All      1.188422965836843          0.10232871855162529       -1.9943294803622003        -0.44277439286476844      
Zeropoint     AB|SDSS|SDSS_z            6917.260695786549    All      0.26539702611839           0.02318144688508994       0.5945915423580916         -0.05236369313688649      
Check         All|All|All               All                  All      0.9978927846156483         0.992511185719458         -0.013446378839465645      -0.0023530139404551176    
Lambda        AB|SDSS|SDSS_r            4797.758584505436    All      -7.439873199195075e-05     6.272567813842318e-06     -0.0005302000726830214     2.61690223069027e-06      
Lambda        AB|SDSS|SDSS_g            3671.657384906057    All      -0.0017590902194494409     0.0011757361207911262     0.0009081857847088161      0.0009964976523601547     
Lambda        AB|SDSS|SDSS_i            5818.120846510744    All      -0.0006000414840481795     8.705338980931907e-05     0.0006575895162570394      0.00025315460507645374    
Lambda        AB|SDSS|SDSS_z            6917.260695786549    All      -0.00015221126289187602    3.0340119128890235e-05    -0.00023333504124820487    4.905031966441766e-05     
MWEBV         All|All|All               All                  All      -0.5392820049698268        -2.932115659704415        -0.20177248662374137       -0.788428822606528        
Redshift      All|All|All               All                  All      6.649125906228246          -2.7832593015393314       -4.810170714792283         -3.2870940051120914       
