#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4797.758584505436    All      0.31898203158147914       0.34284538391116115       1.4338378890205827        0.07175867854250875        
Zeropoint     AB|SDSS|SDSS_g            3671.657384906057    All      -0.9326791661371251       0.4650261546791157        -0.468193820489121        0.4343852662570786         
Zeropoint     AB|SDSS|SDSS_i            5818.120846510744    All      1.3032451283965445        0.18762445546958162       -1.6185964951720626       -0.4356248836369823        
Zeropoint     AB|SDSS|SDSS_z            6917.260695786549    All      0.30263700360756485       0.0021387805649197844     0.6359158157459355        -0.06950415514184101       
Check         All|All|All               All                  All      0.9921849974484634        0.9976347746247782        -0.01703661089466535      0.0010149060207640254      
Lambda        AB|SDSS|SDSS_r            4797.758584505436    All      -3.180876660986889e-05    -2.905563202670061e-05    -0.0007023768791109414    -3.0447067705221727e-05    
Lambda        AB|SDSS|SDSS_g            3671.657384906057    All      -0.0020923049844328956    0.0009869370495497762     -0.001373866377423731     0.0009417010880376616      
Lambda        AB|SDSS|SDSS_i            5818.120846510744    All      -0.0004966462574814347    0.00013580779168358777    0.0006944439403358868     0.00023700093452476843     
Lambda        AB|SDSS|SDSS_z            6917.260695786549    All      -0.0001588503925709257    -5.104495821612449e-06    -0.0003997459970095893    3.224126878143307e-05      
MWEBV         All|All|All               All                  All      -0.49579730684852974      -2.9186542790016645       0.03586378462788647       -0.7876037894655096        
Redshift      All|All|All               All                  All      7.68649679653528          -2.2929842800731848       3.7634955874333382        -3.082697778869739         
