#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3593.387405985691     All      -2.0556366684211973       0.07582760637241392        0.012763552661088085      0.694857616126443         
Zeropoint     AB|MEGACAMPSF|i           4395.626116187893     All      2.4418997479213176        0.8228518583193178         0.4321112549313666        -0.5080940220444308       
Zeropoint     AB|MEGACAMPSF|z           5068.7325808073065    All      0.6162913704783589        0.10045955533879436        -0.4561542177395461       -0.188379460250776        
Check         All|All|All               All                   All      1.0025544499784793        0.9991390200305261         -0.01127941014709144      -0.0016158661687637466    
Lambda        AB|MEGACAMPSF|r           3593.387405985691     All      -0.002018556854016885     -5.2580258496348216e-05    -0.0029935673270419265    0.0005067940950214309     
Lambda        AB|MEGACAMPSF|i           4395.626116187893     All      -0.0011194494476310696    -0.00046111852437158353    -0.0029393559802045536    8.327008272686066e-05     
Lambda        AB|MEGACAMPSF|z           5068.7325808073065    All      8.759433735231157e-05     1.4919474831232099e-05     -5.712983392375844e-05    -2.62220357552555e-05     
MWEBV         All|All|All               All                   All      -0.316139201475768        -1.8681760683691095        -0.042467932066303504     -0.5074446168033958       
Redshift      All|All|All               All                   All      8.963357758586099         2.119147084446915          6.745128261803979         -1.9283804893394263       
