#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7385.982277453357     All      0.16665044389896208       -0.001660735114406009     0.13941858734767276        -0.04860287705105437       
Zeropoint     AB|SDSS|SDSS_i            6212.36344129487      All      1.3416049374332644        0.0034354414289339275     0.07021993754072753        -0.4327522360134367        
Zeropoint     AB|SDSS|SDSS_r            5122.860252793678     All      0.4165380450447568        0.4273439279716129        -0.10025964847424351       -0.0009542960632297204     
Zeropoint     AB|SDSS|SDSS_g            3920.4531340441613    All      -0.9289665867729499       0.5704933978465832        -0.10900932380988326       0.48355886229888567        
Check         All|All|All               All                   All      0.9958268396040333        0.999612032132724         0.00036955260427351533     0.0012494531711648715      
Lambda        AB|SDSS|SDSS_z            7385.982277453357     All      -3.58096270173723e-05     -7.983667313634187e-06    -0.00012817337154958405    3.3440416291352083e-06     
Lambda        AB|SDSS|SDSS_i            6212.36344129487      All      0.00033966167416491785    3.4951678300712727e-06    0.00016181402454049264     -0.00010227947393250785    
Lambda        AB|SDSS|SDSS_r            5122.860252793678     All      0.00017652874018452962    0.00019811747339647245    -0.0008777594151868803     -3.213821064125726e-05     
Lambda        AB|SDSS|SDSS_g            3920.4531340441613    All      -0.0012191830842011914    0.0006227228118969059     -0.0009918080125526714     0.000555709510872437       
MWEBV         All|All|All               All                   All      -0.5705843916355393       -3.2116877080813566       0.04544441491014517        -0.8582662643658395        
Redshift      All|All|All               All                   All      4.432103295099263         -0.07750589076138681      1.3620981866654613         -1.4081438873900591        
