#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7385.982277453357     All      0.08380257913684347        0.00446891430687657        0.08761417648473165        -0.02193176633601259       
Zeropoint     AB|SDSS|SDSS_i            6212.36344129487      All      1.2152580759100209         0.02455581385341077        -0.02135336127510565       -0.3888038021339738        
Zeropoint     AB|SDSS|SDSS_r            5122.860252793678     All      0.7290976947694676         0.40634293414036904        0.13625846164276162        -0.09905125452248871       
Zeropoint     AB|SDSS|SDSS_g            3920.4531340441613    All      -1.0307965541705024        0.5634151597298853         -0.20145353725301243       0.5102972570999105         
Check         All|All|All               All                   All      0.9973617956458296         0.9987828220305417         0.0010657395993751984      0.0005104341074353425      
Lambda        AB|SDSS|SDSS_z            7385.982277453357     All      -1.4824769286842694e-05    -2.0151216351443317e-07    -9.478366602364576e-06     4.340299967037236e-06      
Lambda        AB|SDSS|SDSS_i            6212.36344129487      All      -0.00019179429443324885    -2.6412959502345856e-05    -0.00024935380292810807    4.2742626687215697e-05     
Lambda        AB|SDSS|SDSS_r            5122.860252793678     All      0.00017046022089766078     7.615464699206396e-05      -0.0005735110361219835     -5.6311591483488134e-05    
Lambda        AB|SDSS|SDSS_g            3920.4531340441613    All      -0.0011040168302942604     0.00038275105246491915     -0.0016411771217856288     0.00041105101533372914     
MWEBV         All|All|All               All                   All      -0.569032373456495         -3.1997080859023086        0.10954361481632018        -0.8520091977902208        
Redshift      All|All|All               All                   All      4.845063720961203          0.5745994157896561         -1.2308833701358326        -1.4459593898632432        
