#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7422.697877557342 All 0.12103278539764897 0.033964497099627344 -0.12915085823714723 -0.03412441559495466
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1 6119.284221491546 All 0.9151641396391291 -0.04923908855880477 1.0846132513487539 -0.2657365513886497
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4689.992827396183 All -0.14268927598014494 0.04476789856736296 -0.21118379170761692 0.05163680621614475
Zeropoint Linear_AB11_off|SWOPE|SWOPE_u 3508.562018642732 All -0.14644241308606593 0.06603913371879777 -0.07639134830799232 0.06580323520738396
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1 7450.169515178414 All 1.0936483126833894 0.07161754265746634 3.632407127560591 -0.1708113985505283
Zeropoint Linear_AB11_off|SWOPE|SWOPE_B 4293.267746343603 All -0.49005868558637383 0.27290701679684837 -0.1691553198599891 0.24097440506918688
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 6070.976094516422 All 0.12651192494067448 0.07455115895039999 -0.43905048727385854 -0.03651813770253848
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-9844 5244.572014283394 All -0.21760080240511187 0.17436324038306594 -1.0343592458037927 0.08151688147005154
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1 5298.541780535692 All 0.14290553080993654 0.20233505136761032 0.49129481340594294 0.04128238110563126
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1 4280.002383772882 All -0.29409851857252434 0.18315419103106834 0.1741068458506172 0.16322649755215873
Check All|All|All All All 1.1083729978405574 1.0744606420134426 3.323130986975508 0.13724970338388598
