#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6087.026072583666    All      1.1567271217413337         -0.0725791032222034       -0.4511105218448344        -0.4205564711583972       
Zeropoint     AB|PS|PS_g                4793.19012810226     All      -1.1138783723464412        1.2634944335067289        0.06061893755281017        0.7770936808787965        
Zeropoint     AB|PS|PS_i                7372.706881925273    All      0.5133052902969815         -0.1006203996490207       0.4372203025265489         -0.18046466074914166      
Zeropoint     AB|PS|PS_z                8473.039198131897    All      0.4430075431813598         -0.09016038845750529      -0.045279947868655246      -0.1756909721488179       
Check         All|All|All               All                  All      0.9991615828732338         1.0001345421779995        0.001448770365869434       0.00038157682243969426    
Lambda        AB|PS|PS_r                6087.026072583666    All      -0.0001741237377340409     1.0679519330437953e-05    -0.0005946762630594199     3.365883030141313e-05     
Lambda        AB|PS|PS_g                4793.19012810226     All      -0.00046782040262247185    -0.0001236925723016753    -0.0018521133161185908     2.9442444955227882e-05    
Lambda        AB|PS|PS_i                7372.706881925273    All      -8.81091865539844e-05      2.0207048494351965e-05    -0.0006525523471175183     6.161747066200765e-06     
Lambda        AB|PS|PS_z                8473.039198131897    All      0.0005023644718216326      -8.704198225218343e-05    -0.00033370894421039086    -0.0002068809704985797    
MWEBV         All|All|All               All                  All      -0.6853414134408742        -4.05665932645789         0.01768037262094152        -1.0973601635074746       
Redshift      All|All|All               All                  All      5.48552707654043           1.5080583722797414        13.42487699843764          -0.6965018096008898       
