#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6087.026072583666    All      1.1869959175329248         -0.06358889072739515       -0.3478547747955508        -0.4228797760284399        
Zeropoint     AB|PS|PS_g                4793.19012810226     All      -1.117792829798972         1.2429505079300185         -0.09518837484500801       0.7647239512622882         
Zeropoint     AB|PS|PS_i                7372.706881925273    All      0.5124475056770144         -0.09618828816950753       0.47839254138419135        -0.17690423963416538       
Zeropoint     AB|PS|PS_z                8473.039198131897    All      0.4178462305471124         -0.08349443785071742       -0.03323911654457805       -0.16478645842489806       
Check         All|All|All               All                  All      0.9994968239580793         0.9996788911823984         0.0021102751990544483      0.00015347717478486622     
Lambda        AB|PS|PS_r                6087.026072583666    All      -0.00021024630777830087    2.0822481336017713e-05     -0.000737157773616345      4.237074075859261e-05      
Lambda        AB|PS|PS_g                4793.19012810226     All      -0.00043831068580100943    -0.00014118544868374781    -0.0018968631831628793     1.2135172971969738e-05     
Lambda        AB|PS|PS_i                7372.706881925273    All      -8.84542600942565e-05      1.9255219030050286e-05     -0.000649857680256398      6.084357305921912e-06      
Lambda        AB|PS|PS_z                8473.039198131897    All      0.0005086973930669325      -8.389614425214204e-05     -0.00031636696383528676    -0.00020714521542817876    
MWEBV         All|All|All               All                  All      -0.6806260758403568        -4.057200281705331         0.033719855901601876       -1.0983565425428192        
Redshift      All|All|All               All                  All      5.65903314443722           1.525737425682827          14.683946242464138         -0.6910733171129662        
