#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6125.008398628926     All      1.1452330551387173         -0.19476369983362218       -0.5109757888655642        -0.4592835303084436        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.995358294381     All      0.19526374155174886        0.2577762814496509         0.36937638223459857        0.03684596230099091        
Zeropoint     AB|PS|PS_i                            7418.711704852959     All      0.5563069458140342         -0.14150916933592939       0.20232033738163402        -0.21827303873898363       
Zeropoint     AB|PS|PS_g                            4823.0990701819555    All      -1.2839502480808682        1.1910097406951259         -0.12897126054296493       0.8004204970949863         
Zeropoint     AB|PS|PS_z                            8525.909965166598     All      0.38808123662422267        -0.1168417664115573        0.0716577067977564         -0.16127227921970272       
Check         All|All|All                           All                   All      1.0009347310478547         0.9956713865636679         0.0034073770054598995      -0.0015623888711527312     
Lambda        AB|PS|PS_r                            6125.008398628926     All      -4.5724655447007594e-05    8.687893130374413e-06      -0.00011782113032301653    1.2466141277892099e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.995358294381     All      0.00013399244876955053     -4.5455583219656404e-07    5.397696959268558e-05      -4.138506832819192e-05     
Lambda        AB|PS|PS_i                            7418.711704852959     All      -3.739525011966908e-05     -9.016380378346725e-06     -0.00019274798233669121    6.424743196077062e-07      
Lambda        AB|PS|PS_g                            4823.0990701819555    All      -0.0005073178693507905     0.0001596957522470298      -0.0014678835752247054     0.00015176337843388784     
Lambda        AB|PS|PS_z                            8525.909965166598     All      0.0003218417544607414      -9.875443187907124e-05     7.682418578344895e-05      -0.00013357370452360916    
MWEBV         All|All|All                           All                   All      -0.6983540762155669        -4.103066338032058         0.05299748758458289        -1.106661760917721         
Redshift      All|All|All                           All                   All      4.19573108511345           0.49362191885204965        4.346906053420163          -1.011916298678449         
