#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6125.008398628926     All      1.08585390207935           -0.17004511346865314       -0.5184917467739418        -0.43222553252639523       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.995358294381     All      0.22166393731384756        0.29546881455502216        0.41982927512573903        0.04277572896853448        
Zeropoint     AB|PS|PS_i                            7418.711704852959     All      0.49954572159869803        -0.12652094100449318       0.15592689346854804        -0.19697220788208475       
Zeropoint     AB|PS|PS_g                            4823.0990701819555    All      -1.2142778653561412        1.1107904427628768         -0.20593779913453358       0.7481611822923736         
Zeropoint     AB|PS|PS_z                            8525.909965166598     All      0.4079570235798808         -0.11238674745133181       0.15153237808360615        -0.16273089095562168       
Check         All|All|All                           All                   All      1.000742719215635          0.9973064553934208         0.0028590007694178077      -0.0009917201031935108     
Lambda        AB|PS|PS_r                            6125.008398628926     All      -0.00019002738131756154    -1.3564918846216708e-05    -0.0004873815045109848     3.573003138545274e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.995358294381     All      2.582083952976297e-05      2.9629109951502137e-05     6.911415622985158e-05      4.324726327436102e-06      
Lambda        AB|PS|PS_i                            7418.711704852959     All      -5.39260851983693e-05      -9.233645010171811e-06     -0.00022706982789395846    4.424714581995173e-06      
Lambda        AB|PS|PS_g                            4823.0990701819555    All      -0.00032708136687061403    3.675053274991393e-05      -0.001189194319590346      6.54437387090067e-05       
Lambda        AB|PS|PS_z                            8525.909965166598     All      0.00044345003261856515     -0.00012130879089767615    0.00019519439042284663     -0.00017524989968348905    
MWEBV         All|All|All                           All                   All      -0.6882748200398461        -4.102356988411593         0.07902518808872414        -1.108552351010942         
Redshift      All|All|All                           All                   All      4.001542815967484          1.0172562235132077         2.7286693829982385         -0.8503123410369767        
