#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      3.084172956169277        -1.3057330152310698       0.48230036517820096      -1.4084139483292943      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -2.0831618200668793      2.306357007773485         -0.4793535541835148      1.4084193455756426       
Check         All|All|All                            All                   All      1.0010111361023981       1.0006239925424154        0.0029468109946861887    5.397246348293194e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      -0.001764412390080441    0.0005732091129272841     -0.001807281206630359    0.000680789569283181     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -0.000309720427982424    0.00012997842199498994    -0.001143935620674438    9.21757882557055e-05     
MWEBV         All|All|All                            All                   All      -0.5658762413245233      -3.1772190244975462       -0.012852788585160368    -0.8511738160290522      
Redshift      All|All|All                            All                   All      12.40288737846741        -3.374317999436549        0.10025282377812417      -5.134681023142136       
