#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      2.988551193600218         -1.245025101748709       0.36565556281766776        -1.3626975515449207       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -1.9919581414453615       2.2502893206485908       -0.36321290409090934       1.3656310404669376        
Check         All|All|All                            All                   All      0.9965930521548555        1.0052642188998817       0.0024426587267584177      0.002933488922016947      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      -0.0009758535804127032    0.000407076731744207     -0.00029211473119036515    0.00043743016090678507    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -0.0002835811696211337    3.237195652139776e-05    -0.0011895521534851222     4.983207853911065e-05     
MWEBV         All|All|All                            All                   All      -0.564548078591272        -3.1736373484175573      0.002133808561567453       -0.8497709895939253       
Redshift      All|All|All                            All                   All      11.41514656237651         -2.236113907904169       -0.18656556163218715       -4.454990212450909        
