#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4893.442772743565    All      3.9227851666350437        0.45147699691181487        0.39149967382166156       -1.1132484411757855      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4086.378899641436    All      -2.9293027187496747       0.5507006292987171         -0.39141676138691384      1.1160844468203208       
Check         All|All|All                            All                  All      0.9934824478853689        1.002177626210532          8.291243474772836e-05     0.0028360056445353443    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4893.442772743565    All      -0.0007457482152215139    -0.00010620359214648461    -0.0008725485525379605    0.0001693828896994556    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4086.378899641436    All      -0.0012150424227262108    0.00012449543161922115     -0.0015890383517638375    0.000365420065196673     
MWEBV         All|All|All                            All                  All      -0.04960414881198316      -2.0920291594322293        0.0233585940911031        -0.664242632973865       
Redshift      All|All|All                            All                  All      3.4864295701863854        0.2944475836669014         4.038536197245731         -0.859512223940332       
