#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5949.145847835169    All      1.1913652838234243         0.1042446131304331         -0.1411987651793301       -0.3604120200399216        
Zeropoint     AB|SDSS|SDSS_r            4905.804866367405    All      0.7166792393738047         0.42813558737151425        0.1959369182493128        -0.08524439550558131       
Zeropoint     AB|SDSS|SDSS_g            3754.343689713332    All      -1.0567995168009654        0.4563304803145485         -0.17543095455964092      0.4850475427820336         
Zeropoint     AB|SDSS|SDSS_z            7073.038500293716    All      0.14598150789042494        0.009900272361917928       0.12176727992387948       -0.038892220905190726      
Check         All|All|All               All                  All      0.9972265142866885         0.9986109531784138         0.0010744784342212599     0.0004989063313399281      
Lambda        AB|SDSS|SDSS_i            5949.145847835169    All      -0.00017584754416728087    -1.4243773089166222e-05    1.658929812589216e-05     5.337996902975958e-05      
Lambda        AB|SDSS|SDSS_r            4905.804866367405    All      -0.00021210902855421215    -0.00010046577292909477    -0.0014952112180022775    -3.0358528091594362e-05    
Lambda        AB|SDSS|SDSS_g            3754.343689713332    All      -0.0016324404793735842     0.0006108229495357387      -0.0010698115130569328    0.0006829639256092909      
Lambda        AB|SDSS|SDSS_z            7073.038500293716    All      -5.517240296339299e-05     -4.7049349257485705e-06    -6.445326602008807e-05    1.3562661430909563e-05     
MWEBV         All|All|All               All                  All      -0.5511813886922359        -3.000221608506237         0.06717974169095749       -0.7947350472971793        
Redshift      All|All|All               All                  All      4.642366794210097          0.012969693709941055       5.019354742928014         -1.2839561891592892        
