#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5949.145847835169    All      1.1561623335509368         0.13294416796405528        0.27931533058713764       -0.32083125905421617       
Zeropoint     AB|SDSS|SDSS_r            4905.804866367405    All      0.8919032334923087         0.4266664934826636         0.031035612366481224      -0.1501579352167548        
Zeropoint     AB|SDSS|SDSS_g            3754.343689713332    All      -1.1781116749648204        0.42481270565559726        -0.46556510308466414      0.5013491731263253         
Zeropoint     AB|SDSS|SDSS_z            7073.038500293716    All      0.1286363395462001         0.014136174331369489       0.15900416291221298       -0.030200845242950303      
Check         All|All|All               All                  All      0.9985902316246251         0.9985595414336856         0.0037900027811677006     0.00015913361240404988     
Lambda        AB|SDSS|SDSS_i            5949.145847835169    All      -0.0003231578791082709     -4.809796753702909e-05     -0.0002652732111124433    7.775813734489808e-05      
Lambda        AB|SDSS|SDSS_r            4905.804866367405    All      -0.000365925750142272      -0.0001585755134143898     -0.0015870828101644163    -3.2834228875058306e-06    
Lambda        AB|SDSS|SDSS_g            3754.343689713332    All      -0.0014938132495857905     0.0003777014976528112      -0.0021018124727176946    0.0005158196868000904      
Lambda        AB|SDSS|SDSS_z            7073.038500293716    All      -4.2512048625106575e-05    -3.7371895296089117e-06    -4.150261273301953e-05    1.077817627070814e-05      
MWEBV         All|All|All               All                  All      -0.5670090560458614        -2.9888729658768654        0.12874279033234792       -0.7831355529496653        
Redshift      All|All|All               All                  All      5.420242088104565          1.0698066194434475         8.588263637341287         -1.0338251955522348        
