#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4261.478300914872    All      -0.9458262774085926        0.5836267686854413        0.16665604953037863        0.5056302686904547        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7398.707959961459    All      0.6643335050157808         -0.19256105954728042      0.4627066016440971         -0.25847028017518564      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6072.863175026556    All      1.1831766513754423         -0.140001340435969        -0.2136706323384605        -0.4405377421634464       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5270.144943502823    All      0.09437552186762155        0.7468445045809347        -0.4233958896793495        0.19363639929226134       
Check         All|All|All                                All                  All      0.9960594008502518         0.9979088732831265        -0.007703870843334237      0.00025864564408401014    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4261.478300914872    All      -0.00048743626876838163    0.00023169769979728842    -0.00015848671995462532    0.0002271730579582692     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7398.707959961459    All      -0.00025175508497621594    7.658245136212674e-05     -0.0006719292536578443     7.696522103818176e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6072.863175026556    All      -0.00029019579877491864    2.4000441771123952e-05    -0.0008605383566745653     6.394217774645835e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5270.144943502823    All      -8.974732340659724e-05     0.00014971489568388062    -0.0010080229827762893     3.3017286791572064e-05    
MWEBV         All|All|All                                All                  All      -0.8145871591650002        -3.958388852298178        0.0503260809891492         -1.021793817601845        
Redshift      All|All|All                                All                  All      9.131594414566091          -1.2731643403897763       10.822763859350506         -2.906201988998322        
