#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4261.478300914872    All      -0.9486282151074372        0.518201972163812         0.2131924623091308         0.48730864970931603       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7398.707959961459    All      0.7881854906145963         -0.22808977257788854      0.7101770054275924         -0.2993423496576237       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6072.863175026556    All      1.0877697195437597         -0.08510551363070107      -0.2579057744628077        -0.3935532000898585       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5270.144943502823    All      0.051836477909732226       0.7999155181009243        -0.6588716613882717        0.21427153829999962       
Check         All|All|All                                All                  All      0.9791634729606513         1.0049222040561467        0.006592031885643834       0.008684638261833466      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4261.478300914872    All      -0.0006156432468888939     0.0002545256093884472     -0.00027966957737337743    0.00027096225543230896    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7398.707959961459    All      -0.00018232485855519142    5.511273956643936e-05     -0.00031597218663802034    6.324084969127753e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6072.863175026556    All      -0.00010490665565308947    2.1403505242344793e-05    -9.401252808258326e-05     3.694802754010435e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5270.144943502823    All      -6.706379319766263e-05     0.000199337725507671      -0.0010790075181758142     3.862458915806094e-05     
MWEBV         All|All|All                                All                  All      -0.797372242480272         -3.9746749338318565       0.07784914657884556        -1.0314779668632843       
Redshift      All|All|All                                All                  All      9.287560156578671          -1.970149847830882        7.783360842532794          -3.3196708693754267       
