#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4758.485443942888    All      -1.0743113463896237       1.0979611931941413         0.23983836789743546        0.7182835166077243         
Zeropoint     AB|PS|PS_z                8411.69088075197     All      0.36417248119816614       -0.1476338675636235        0.174035643061409          -0.1589457542874191        
Zeropoint     AB|PS|PS_r                6042.953479660565    All      1.0335176033060116        0.2894906161312605         -0.920819610352471         -0.28344601752216275       
Zeropoint     AB|PS|PS_i                7319.325426798612    All      0.676067116507425         -0.24699507834995416       0.518611248131078          -0.27752848660046303       
Check         All|All|All               All                  All      0.9994458546219792        0.9928228634118241         0.011665648737451462       -0.001636741802320596      
Lambda        AB|PS|PS_g                4758.485443942888    All      -0.0003980655648345356    -6.512960278646188e-05     -0.0002813370339240419     9.589341641709446e-05      
Lambda        AB|PS|PS_z                8411.69088075197     All      0.00042924480245790965    -0.00016463586422359896    -2.9215213022725213e-05    -0.00019475021200834593    
Lambda        AB|PS|PS_r                6042.953479660565    All      -0.0002106674327344015    7.285883241052292e-05      -0.001079346151142436      4.418757082684388e-05      
Lambda        AB|PS|PS_i                7319.325426798612    All      -3.529021883222518e-05    -5.4353597177180955e-05    -0.0008599761815772327     -4.458635674952335e-05     
MWEBV         All|All|All               All                  All      -0.6668017770197805       -4.071063846786949         0.11764221827463944        -1.10363032112819          
Redshift      All|All|All               All                  All      6.816105214288941         -0.1812616595219474        11.925775560151113         -1.7470800071889856        
