#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4758.485443942888    All      -1.0671771237102958       1.1241925221828097         0.014502563148011127       0.7144483703727632         
Zeropoint     AB|PS|PS_z                8411.69088075197     All      0.3408572651457443        -0.12463420460102625       0.19054453157001383        -0.14312275860641002       
Zeropoint     AB|PS|PS_r                6042.953479660565    All      1.0300421802091337        0.23308013279415007        -0.6687176796505323        -0.2894385568492204        
Zeropoint     AB|PS|PS_i                7319.325426798612    All      0.6942700358494933        -0.23739991645852498       0.4624885354733155         -0.2828368152925649        
Check         All|All|All               All                  All      0.9979923574940757        0.9952385339174086         -0.0011820494591918695     -0.0009497603754320405     
Lambda        AB|PS|PS_g                4758.485443942888    All      -0.0003392900973981121    9.490663189137071e-06      -0.0008135669261978505     7.730361293099143e-05      
Lambda        AB|PS|PS_z                8411.69088075197     All      0.00047310222904732384    -0.00019056865506940192    -3.8409384895573785e-05    -0.00021789347552033208    
Lambda        AB|PS|PS_r                6042.953479660565    All      -0.0002299164348237866    2.7251869226701966e-05     -0.0008926958992189966     4.393125923696614e-05      
Lambda        AB|PS|PS_i                7319.325426798612    All      -6.124203309537927e-05    -1.647212246827357e-05     -0.0008827179877142162     -2.4808616837049494e-05    
MWEBV         All|All|All               All                  All      -0.6546607949692085       -4.067991461059961         0.10820772570173665        -1.10700527937121          
Redshift      All|All|All               All                  All      6.586476800137855         0.0708458833583947         12.880906849292433         -1.5475396346665788        
