#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5338.713994804948    All      0.2522545032053327         0.21657262838665758        -0.09156934724499065       -0.015709079931999617      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6276.898650535349    All      0.07363860041665832        -0.012143439843903536      -0.05081594215026364       -0.030209714767149183      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6486.338687589158    All      0.49474989237615496        -0.0537213583221785        0.04215853234746462        -0.176773788849098         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4356.942226979531    All      -0.054053847887901414      0.03085180200397275        -0.03374818032460224       0.026150537194594026       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7831.802552871815    All      0.20032993350049877        -0.03988182715017885       0.04981139562886976        -0.0760220193646653        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7781.582826647053    All      0.19386378161804235        -0.03950027685313273       0.038323839992353934       -0.07430413432971421       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4346.128185802985    All      -0.42582793163906074       0.32218418809843996        0.07533535927732413        0.2470140273480437         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6333.911690395546    All      0.6377265356412327         -0.05787821565439444       0.07799975589213874        -0.22310058134801442       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8106.343448053736    All      0.013330715761631232       -0.0030985409684269882     -0.00023387284081363534    -0.00536198609421814       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5305.769023259951    All      -0.0027014794619113075     0.018842843423350075       -0.10595017339340371       0.002289625123897418       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4331.360980231984    All      -0.6077948172633896        0.41271687071890995        -0.13976186159052445       0.3261773006333543         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5336.071623536113    All      0.22112810683378364        0.20175162356883547        0.13909386274726884        -0.00010443780735254796    
Check         All|All|All                                      All                  All      0.9966439931010717         0.9966962974079507         0.0006433683408217095      4.5747807678058936e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5338.713994804948    All      3.0369371571176314e-05     2.3715546266547033e-06     -0.0007687138671279152     -4.342397939447753e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6276.898650535349    All      -9.697089758136816e-06     1.6202800711960077e-06     6.393438521793537e-06      3.971749481048384e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6486.338687589158    All      -0.00012560278022987194    1.8307632167905827e-06     -0.00012335874513332338    3.600436331055284e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4356.942226979531    All      2.7776441246128727e-06     -1.6050002434481618e-06    1.6891589946956107e-06     -1.3521920474878618e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7831.802552871815    All      -8.977370274991507e-06     9.378284587115093e-06      6.109023487504071e-05      8.705217276868788e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7781.582826647053    All      -1.5210091332303037e-05    5.617780319062069e-06      1.7914406639662093e-05     7.5837607039084085e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4346.128185802985    All      -0.00013537360268458994    6.224076955875883e-05      -0.00020583012155620182    5.5184249377898735e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6333.911690395546    All      -0.00016235961809620982    -6.1381773781034835e-06    -0.00022200658036787034    4.097932873215247e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8106.343448053736    All      -4.026610677262503e-06     9.416674719822761e-07      9.132941917038852e-08      1.6224072572218643e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5305.769023259951    All      -1.208612262560808e-07     1.3762830077922044e-06     -7.901724649634128e-06     1.3505145180729954e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4331.360980231984    All      -0.0003222217715656589     8.819507950372808e-05      -0.0007975805198469991     9.80939152606997e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5336.071623536113    All      3.358069884601354e-05      1.9557836650060175e-05     -0.0002527151101878602     -1.5845222244850234e-05    
MWEBV         All|All|All                                      All                  All      -0.8296944746135861        -4.036928610054247         0.0235619359258058         -1.043650211797663         
Redshift      All|All|All                                      All                  All      3.7199883887860556         0.09907757096989656        0.6198547282984721         -1.1517885081561137        
