#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5338.713994804948    All      0.2346935489582606         0.22492647253447018        -0.14852813734374457       -0.00980958672308907       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6276.898650535349    All      0.05789148968175493        -0.009111303570819018      -0.07034185532371895       -0.02496404802342783       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6486.338687589158    All      0.4803971750689967         -0.056321839146367125      -0.008208162993735002      -0.17519333307671192       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4356.942226979531    All      -0.06720461761822856       0.0357337480297204         -0.04828058918666944       0.03137587131250008        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7831.802552871815    All      0.18054402532125383        -0.0348841403645217        0.04746182012519973        -0.06805403789205966       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7781.582826647053    All      0.175958296594123          -0.03731576127847802       0.01660780857769273        -0.06872924693728244       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4346.128185802985    All      -0.4024078959693635        0.3166353038515979         0.1109429565864066         0.23916690061019513        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6333.911690395546    All      0.63074681057424           -0.058674596030616755      0.05319674687962045        -0.22219330693236117       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8106.343448053736    All      0.00495456057978374        -0.00042578425833994515    -0.007648851786268285      -0.002093888447179948      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5305.769023259951    All      -0.020173885686551873      0.02333683538733311        -0.13971083774553666       0.007938220294054221       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4331.360980231984    All      -0.5758510546768998        0.41550611610627897        -0.03784801370696478       0.3212286621841448         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5336.071623536113    All      0.20475921167709532        0.20924138697147043        0.15615039853493357        0.00842826706633909        
Check         All|All|All                                      All                  All      0.9043076645044644         1.0286464382317284         -0.07620671738278459       0.037100473435121295       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5338.713994804948    All      1.456244463327234e-05      2.729987753348825e-05      -0.000782721922567341      -3.078028354772307e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6276.898650535349    All      -8.224546869448007e-06     1.953077476143768e-06      3.203433656522436e-06      3.4581416145066286e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6486.338687589158    All      -0.00011657060507525477    -2.3644343000134326e-07    -0.00014169697611733122    3.1570578474651153e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4356.942226979531    All      -1.5230407936214276e-05    6.57410451436717e-06       -7.530150088879535e-06     6.7664110385683885e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7831.802552871815    All      2.9310201220553345e-06     1.0294141529567354e-05     8.889213284688027e-05      6.365258504082937e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7781.582826647053    All      -1.1698165654562291e-05    5.516498107175695e-06      2.067670088011808e-05      6.530088528441095e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4346.128185802985    All      -0.00016201285561891974    9.70947243947858e-05       -0.00013706182467974895    7.82834234633811e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6333.911690395546    All      -0.00015352706978197887    -1.1062520733314098e-05    -0.00027232971437120523    3.4252566182348424e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8106.343448053736    All      -4.892363198638191e-06     1.3691597388103069e-06     -8.728596688560095e-07     2.0006323005912784e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5305.769023259951    All      -1.4224002335237851e-05    7.821587442032616e-06      -2.6509388775905298e-05    5.997981600967897e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4331.360980231984    All      -0.00035133935328527223    0.00014708581728634554     -0.0007161422426449416     0.00013039533658933575     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5336.071623536113    All      3.471487368383128e-05      3.8797438594336686e-05     -0.00026005039105780057    -1.0275028880916377e-05    
MWEBV         All|All|All                                      All                  All      -0.8273401382593049        -4.038780954980936         0.01491890474167798        -1.0454061650723199        
Redshift      All|All|All                                      All                  All      3.4221114809155075         -0.5947534502843688        -1.1544637549051975        -1.3599434741439376        
