#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4024.6511217012326    All      -2.3667607102775516       0.08699059340031567      -1.4679157686773525       0.7337611867651694        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4819.523697626592     All      3.4036766645873398        0.9016252999405339       1.411545789155988         -0.7520096389356468       
Check         All|All|All                            All                   All      1.0369159543097881        0.9886158933408495       -0.05636997952136458      -0.018248452170477325     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4024.6511217012326    All      -0.0005947044446132211    7.808007816676768e-05    -0.0010733187764590346    0.00017125076560426742    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4819.523697626592     All      -0.0005689182170458851    -5.43859896977584e-05    -0.0002023849965661683    0.0001585685611786846     
MWEBV         All|All|All                            All                   All      -0.06723274932712853      -2.037113935206314       -0.007364168864043563     -0.6419837384408988       
Redshift      All|All|All                            All                   All      -6.057793033840775        -0.5050973002418857      -1.0620931707101544       1.7612993385054065        
