#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4024.6511217012326    All      -3.1881012007387026       0.6391798989060504       -0.21448979069857216      1.2370996737195599        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4819.523697626592     All      4.175875360353983         0.3794791499078798       0.254753268076863         -1.2252426751529555       
Check         All|All|All                            All                   All      0.9877741596152806        1.0186590488139302       0.040263477378290835      0.011856998566604382      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4024.6511217012326    All      -0.0033036083798637234    0.0010317316230875045    -0.0008183280664205425    0.0013756446442513399     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4819.523697626592     All      0.0016767121576811684     -0.000352887796824691    -0.0021157470959334316    -0.0007555235526543125    
MWEBV         All|All|All                            All                   All      -0.0353951262493819       -2.0498640631373632      -0.04292205772995109      -0.6580942211065097       
Redshift      All|All|All                            All                   All      -5.031535601640602        -3.5930432592605754      -4.292274231988129        0.2770197956344145        
