#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5125.528789751432     All      0.8991387384788851         0.2946486252755065         -1.4984894720826623        -0.2637730198301966        
Zeropoint     AB|SDSS|SDSS_g            3922.4953279676893    All      -1.10438960379047          0.6084664114327509         0.30547121822049217        0.5715653329379246         
Zeropoint     AB|SDSS|SDSS_z            7389.82969192576      All      0.08183179286477202        0.008077125455763223       0.26124632334936937        -0.012366098081480516      
Zeropoint     AB|SDSS|SDSS_i            6215.599508768905     All      1.1262103379803114         0.0886629076907397         0.9733397987735339         -0.2945276475106181        
Check         All|All|All               All                   All      1.0027912655334987         0.9998550698547604         0.04156786826073322        0.0008985675156293338      
Lambda        AB|SDSS|SDSS_r            5125.528789751432     All      6.509534278061247e-05      1.955250247683706e-05      -1.3219298895889488e-05    -1.5424717997561003e-05    
Lambda        AB|SDSS|SDSS_g            3922.4953279676893    All      -0.0012135758354801392     0.000422290755545633       -0.0032627247639639917     0.0003872551460464838      
Lambda        AB|SDSS|SDSS_z            7389.82969192576      All      -1.777970047234219e-05     -1.545245237949479e-06     -4.799650245032444e-05     3.146232703159043e-06      
Lambda        AB|SDSS|SDSS_i            6215.599508768905     All      -0.00028141231968701285    -2.4960029482346484e-05    -0.00035266354952485153    6.779719345920577e-05      
MWEBV         All|All|All               All                   All      -0.5629643926916272        -3.2032213177158653        0.25402262335487397        -0.8486826793565538        
Redshift      All|All|All               All                   All      5.330804578109665          0.2779941333692193         -1.9542782139048447        -1.7330770553893842        
