#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5125.528789751432     All      1.115325771266086          0.33477632135792135        0.9876324452634311        -0.2101771351488842        
Zeropoint     AB|SDSS|SDSS_g            3922.4953279676893    All      -1.280667019508297         0.5830092545521026         -1.3300321027128748       0.547707451462129          
Zeropoint     AB|SDSS|SDSS_z            7389.82969192576      All      0.09171593588590801        0.009432379317075856       0.31554856865221304       -0.012720978066279795      
Zeropoint     AB|SDSS|SDSS_i            6215.599508768905     All      1.0689824344976222         0.07046363637872588        -0.013583001171002529     -0.3258565697978253        
Check         All|All|All               All                   All      0.995357122141319          0.9976815916058257         -0.04043408996823317      -0.0010472315508603391     
Lambda        AB|SDSS|SDSS_r            5125.528789751432     All      3.206781103536849e-05      4.36037295382025e-07       -0.0004215576941940932    -2.9115693108982817e-05    
Lambda        AB|SDSS|SDSS_g            3922.4953279676893    All      -0.001555680404405733      0.0004296881646292927      -0.0056807436453649865    0.00039319436143974676     
Lambda        AB|SDSS|SDSS_z            7389.82969192576      All      -1.1178046273883109e-05    5.824571832915386e-07      4.79557169691255e-05      5.970826280763793e-06      
Lambda        AB|SDSS|SDSS_i            6215.599508768905     All      -0.00016404442892032893    -2.8667781129622755e-05    -0.0009889403175618453    -3.523638933766157e-08     
MWEBV         All|All|All               All                   All      -0.5511680629387348        -3.2016498933954196        0.35600346567687957       -0.847462330833535         
Redshift      All|All|All               All                   All      5.266649209005471          0.467832724550199          -0.801325701048472        -1.5988918910419911        
