#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4743.303530793414     All      2.4855319706252788         0.658157370179957         0.8691442118212123        -0.5564501118650866       
Zeropoint     AB|MEGACAMPSF|g           3040.1655409966643    All      -0.1719176704958618        0.025991963772398208      0.14302345820667192       0.0708481589715225        
Zeropoint     AB|MEGACAMPSF|z           5468.862240530129     All      0.5258607697592163         0.021710949561359882      -0.15594452970552095      -0.17117727060831034      
Zeropoint     AB|MEGACAMPSF|r           3880.1859523588314    All      -1.8532767995833044        0.2957565156613384        -0.8366512661928865       0.6626749484613087        
Check         All|All|All               All                   All      0.9861982703053287         1.0016167991750535        0.019571874129476585      0.005895724959434245      
Lambda        AB|MEGACAMPSF|i           4743.303530793414     All      5.8371332716282437e-05     -6.899138122581756e-05    -0.000705019031036866     -7.294798735965819e-05    
Lambda        AB|MEGACAMPSF|g           3040.1655409966643    All      -0.000513293102584638      6.730884305448205e-05     0.00030978246780862353    0.00020294532369019593    
Lambda        AB|MEGACAMPSF|z           5468.862240530129     All      -2.5255141972094106e-06    -6.854303653419472e-06    -6.759838781642498e-05    -4.426634718912145e-06    
Lambda        AB|MEGACAMPSF|r           3880.1859523588314    All      -0.0023529903581381998     0.00026397005010574945    -0.0019099376835733557    0.0007671983536138109     
MWEBV         All|All|All               All                   All      -0.23763329911577302       -2.089107627774922        0.17195877043418575       -0.595412370394028        
Redshift      All|All|All               All                   All      1.9582241775214142         -0.1763204919289052       0.7217063796748787        -0.6630849822263392       
