#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4743.303530793414     All      2.276040534284534         0.677904431061016         1.128725172044004         -0.4701956855548826       
Zeropoint     AB|MEGACAMPSF|g           3040.1655409966643    All      -0.09160538357927887      0.013362087042878557      0.07465348621684686       0.03752280072764347       
Zeropoint     AB|MEGACAMPSF|z           5468.862240530129     All      0.4099228520130144        0.03282723212301164       -0.06150146835043335      -0.12557697754202352      
Zeropoint     AB|MEGACAMPSF|r           3880.1859523588314    All      -1.603766690271925        0.27658990656327376       -1.1252192750734191       0.5622806371824561        
Check         All|All|All               All                   All      0.9905913124463447        1.00068365679018          0.0166579148369983        0.004030774813193472      
Lambda        AB|MEGACAMPSF|i           4743.303530793414     All      0.00010469322779582799    -6.730578412515175e-05    -0.0005804728240181667    -8.19295729027585e-05     
Lambda        AB|MEGACAMPSF|g           3040.1655409966643    All      -0.0005646165368223513    6.457440815152085e-05     0.00015846422319142151    0.00021201972102641596    
Lambda        AB|MEGACAMPSF|z           5468.862240530129     All      3.615524101222709e-06     -8.011820323189014e-06    -8.85274613794857e-05     -7.737982616743083e-06    
Lambda        AB|MEGACAMPSF|r           3880.1859523588314    All      -0.002245362223157013     0.0001825630574857535     -0.0026061689578457657    0.000674553789386937      
MWEBV         All|All|All               All                   All      -0.3677356013927022       -2.068473295820361        0.28907529357984907       -0.541086117005609        
Redshift      All|All|All               All                   All      1.9184775242090608        -0.036626214770763        1.7701582811565697        -0.5578475747431185       
