#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
52720.26  15.691  0.026
52721.26  15.425  0.019
52722.28  15.28  0.01
52723.26  15.148  0.01
52726.27  14.869  0.01
52727.27  14.823  0.01
52728.22  14.795  0.01
52729.24  14.753  0.01
52730.26  14.735  0.01
52737.25  14.905  0.01
52738.24  14.991  0.01
52739.23  15.016  0.01
52748.22  15.542  0.014
52749.22  15.598  0.01
52756.19  15.965  0.031
52760.18  16.3  0.029
52761.17  16.333  0.016
52765.18  16.562  0.046
52772.2  16.844  0.032
52774.19  16.851  0.04
52777.19  16.965  0.041
52780.19  17.046  0.029
52783.19  17.17  0.037
