#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7955.847274341148    All      0.21584290893814403        -0.061077827923572414      0.046145997627838886       -0.08814291048426792       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4399.963637506457    All      -0.6642613871033841        0.5231157504912431         -0.09969432975568959       0.3823188972045921         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5423.271704989709    All      0.2517299974186961         0.27411463785451673        -0.12989021056447614       0.0014950102894095707      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6434.231930358485    All      0.6291610836308537         -0.115019773359748         0.0073079405343401405      -0.24207806812293065       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6589.073156496666    All      0.5047363476427194         -0.09949733695746588       0.04368826625361644        -0.19486918310209767       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4414.964734814331    All      -0.3718336562787467        0.30881372319546685        0.005266147751925576       0.22194424811603497        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5420.587482281713    All      0.22580956609573535        0.21952951878354554        0.038392667180559004       -0.000332329611874016      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7904.832138386662    All      0.20604722601320322        -0.05330110578807279       0.08998330514565778        -0.08046274234407846       
Check         All|All|All                                      All                  All      0.9972320863572209         0.9966775862959132         0.0011997841737720893      -0.00012707805521205984    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7955.847274341148    All      7.248370451981245e-05      -1.1856743874063595e-05    9.524954140723897e-05      -2.3221909192535607e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4399.963637506457    All      -0.0008741095188005611     0.0006585998572114655      -0.00029199323047127823    0.00048622355160829364     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5423.271704989709    All      0.00012287926204881868     0.00023747175440410578     -0.0006770932480861788     7.110982855856871e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6434.231930358485    All      7.081160384634095e-05      -6.729232418409694e-05     -0.0004581194921465069     -6.542876171156657e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6589.073156496666    All      4.574120038988616e-05      -3.8823707629558144e-05    -0.0002380351663104654     -3.816798886123064e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4414.964734814331    All      -0.00048554652203784893    0.00038081571959653764     -9.77585403492341e-05      0.0002778401699044109      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5420.587482281713    All      0.00011300206695834741     0.00019898963635556379     -0.0004177254366699456     9.367812564636425e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7904.832138386662    All      5.506054693466454e-05      -1.2057668430998762e-05    4.1502290718928406e-05     -2.0010554246635213e-05    
MWEBV         All|All|All                                      All                  All      -0.8200242667275366        -4.147595346597921         0.0195202294373642         -1.0830282763639953        
Redshift      All|All|All                                      All                  All      1.8566162578410434         -4.945202351498867         -1.1548010620384574        -2.2671095618368664        
