#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7955.847274341148    All      0.19431000149784486        -0.04335585998975766       0.05011942122894071        -0.07517899048183636       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4399.963637506457    All      -0.676706460829591         0.4761929538918963         -0.12630565287878545       0.36990082745182207        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5423.271704989709    All      0.30921430771101405        0.2251633828656896         -0.09645616535150545       -0.031682547067909024      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6434.231930358485    All      0.6224669551365941         -0.09059782409448491       -0.057770197408494345      -0.2348466763114146        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6589.073156496666    All      0.5200182392652714         -0.07779955345199596       0.0238808872078407         -0.19366322839406944       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4414.964734814331    All      -0.46045489632501846       0.3394579281699617         -0.007385022302787227      0.2602283636610744         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5420.587482281713    All      0.3047238071757464         0.2066142937148685         0.14524409022621781        -0.025475919576510107      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7904.832138386662    All      0.18335654948078806        -0.038902199244450486      0.06906150041189521        -0.06931508898006805       
Check         All|All|All                                      All                  All      0.9969285031126492         0.9967731218617271         0.00038886113332195493     -3.3259698911103364e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7955.847274341148    All      2.640639857736255e-05      1.4432570303347048e-07     7.289656646154309e-05      -5.30138217234452e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4399.963637506457    All      -0.00024623903874715765    9.194202868743324e-05      -0.00040201970454708125    9.221640648587648e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5423.271704989709    All      2.2255754585084544e-06     -8.409023863015309e-06     -0.0005934367586955318     -2.9946395851078703e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6434.231930358485    All      -0.0002001771357865199     -1.359527940517367e-05     -0.0004253924391426267     4.1792538182021614e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6589.073156496666    All      -0.00014090512155789378    -4.067375814532446e-06     -0.00025102924800101106    3.337027321407909e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4414.964734814331    All      -0.00012045723318295396    6.101482418610888e-05      -0.00012554270345344773    5.350902508011091e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5420.587482281713    All      1.1600950683165482e-05     1.1111024644347768e-05     -0.00038226535053970746    -1.721833194226633e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7904.832138386662    All      1.8169431015091834e-05     -2.2292510005671594e-06    2.365044451025959e-05      -5.589111113274733e-06     
MWEBV         All|All|All                                      All                  All      -0.8627034663213067        -4.120208294823269         0.010596458080149671       -1.060603620112372         
Redshift      All|All|All                                      All                  All      3.2612827389865107         -0.041570749977837274      -1.7320023502940967        -1.1531393521024884        
