#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4695.436684738104     All      -0.3251935767329041        0.29479032769574864        -0.00933432906398072       0.20153260630191772        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5454.295016895818     All      0.4011752666953047         0.08351540639193189        -0.0022769658330937387     -0.10357387772720086       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4359.764704635573     All      -0.4080574448430536        0.23707923406806053        -0.11314810550714284       0.20509296040932756        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4360.952008957612     All      -0.3267107556357099        0.20108946930554872        -0.046842900968942155      0.16983151384642137        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6189.616632433274     All      0.5649842291787319         -0.056802487124940626      -0.024946105077732143      -0.20364961977176607       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5465.077578468444     All      0.3752239578253297         0.06726325034582814        0.0019669435781745005      -0.10022515837436212       
Zeropoint     AB|CNIa02|SDSS_r                      6149.861189966092     All      0.6055201792600016         -0.05534789497789738       0.05250787045762671        -0.21292328859452903       
Zeropoint     AB|CNIa02|SDSS_g                      4706.40255372786      All      -0.2849456087145756        0.2883811706098971         0.052040631080160465       0.18907372826790056        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7510.954030637361     All      0.1860143021038633         -0.030566907169937707      0.0377754742627901         -0.06886187925074878       
Zeropoint     AB|CNIa02|SDSS_i                      7457.7815790990735    All      0.20908096967156672        -0.0330564463705052        0.05265985285653811        -0.07652215511424307       
Check         All|All|All                           All                   All      0.9970915188085546         0.9963451227737341         0.00040236578439829807     -0.00022517000728274061    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4695.436684738104     All      -4.409126264002759e-05     -3.8775859031878875e-05    -0.00036513668053620243    -1.4562971213456362e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5454.295016895818     All      1.3323017135081082e-05     -1.704925282660537e-05     -0.0003554851628174219     -2.5756917676766535e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4359.764704635573     All      -0.00012796281606878237    2.3766907699007106e-05     -0.00029827960285963307    3.611251406385008e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4360.952008957612     All      -8.051422847185487e-05     2.7753720711603966e-05     -0.00011041267594269267    3.0339222338537442e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6189.616632433274     All      -0.00013457031000845037    2.0852989471985922e-06     -0.00014257989226473222    3.815054192683408e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5465.077578468444     All      1.0928403066019784e-05     -1.5029153510736965e-05    -0.0003633992196984262     -2.46720682981893e-05      
Lambda        AB|CNIa02|SDSS_r                      6149.861189966092     All      -0.00011779614184610795    -1.4714521499237738e-05    -0.0003239813114894054     1.9119277092124325e-05     
Lambda        AB|CNIa02|SDSS_g                      4706.40255372786      All      -4.259257880459484e-05     -3.6551303854776765e-05    -0.0003061666305580506     -1.1694968546135135e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7510.954030637361     All      -3.467350333263825e-05     -1.8149155070154118e-06    -8.321764274151204e-05     6.989501879490453e-06      
Lambda        AB|CNIa02|SDSS_i                      7457.7815790990735    All      -3.85127851027776e-05      -2.1148520939830864e-06    -9.186229053390501e-05     7.756612119104082e-06      
MWEBV         All|All|All                           All                   All      -0.9028190913686398        -4.084719490120925         0.010873216561752485       -1.0359644195711157        
Redshift      All|All|All                           All                   All      4.749003892534649          0.49635265986487376        1.526604633967178          -1.3171030611779388        
