#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4695.436684738104     All      -0.3936326041549427        0.33354177434326004        -0.11613965655687952       0.23168183894133887        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5454.295016895818     All      0.34019207856832745        0.10315199453065915        -0.04697543096801038       -0.07930805149194975       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4359.764704635573     All      -0.3888773018054948        0.22698704994414953        -0.17656386153783732       0.1927280464882608         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4360.952008957612     All      -0.3218896565868592        0.20789049523726177        -0.05866997612273828       0.16994865312550678        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6189.616632433274     All      0.6394098557334986         -0.07383046041997687       0.033597196993895295       -0.23082654728511787       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5465.077578468444     All      0.266518162692298          0.07121919536547949        -0.06844595121326957       -0.06666972724528875       
Zeropoint     AB|CNIa02|SDSS_r                      6149.861189966092     All      0.6099846095021491         -0.06603327350438448       0.0836866648783019         -0.21646671332840595       
Zeropoint     AB|CNIa02|SDSS_g                      4706.40255372786      All      -0.2543683775738366        0.28438262440522166        0.17599356465833882        0.18334271020757353        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7510.954030637361     All      0.23807729400269403        -0.043078437963384175      0.0846984923645433         -0.08780196694206377       
Zeropoint     AB|CNIa02|SDSS_i                      7457.7815790990735    All      0.2560878031309716         -0.0466730452852282        0.08415564853636592        -0.09486368878394713       
Check         All|All|All                           All                   All      0.9915018635088053         0.9975579166530579         -0.0046633089672898365     0.0017645536859067779      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4695.436684738104     All      -0.00022584299055058055    8.817307573330161e-05      -0.0002973620769578708     8.901545985037585e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5454.295016895818     All      7.898917622967035e-05      -1.9943658373432825e-06    -0.00046755777675031924    -4.724396009179394e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4359.764704635573     All      -0.00023574495910234783    9.908838401994141e-05      -0.0003011532651663446     9.562714846726387e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4360.952008957612     All      -0.00020623188513412693    9.696546790943828e-05      -0.0001462157803671254     9.223641404992476e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6189.616632433274     All      -2.6109613943301295e-05    2.9681575775990623e-06     -5.153662736255577e-05     7.1717438346026765e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5465.077578468444     All      6.1640873457019e-05        -1.0570506980071857e-06    -0.0003928257870018275     -3.795278728803797e-05     
Lambda        AB|CNIa02|SDSS_r                      6149.861189966092     All      9.161825522881278e-05      -3.7897276142495555e-05    -0.00017948486326147632    -5.0197054605254265e-05    
Lambda        AB|CNIa02|SDSS_g                      4706.40255372786      All      -2.47821508363034e-05      3.2089486483014534e-05     -0.0001459426071303849     1.2012215030115702e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7510.954030637361     All      -2.519323647197417e-05     -2.85570340609671e-06      -7.776573047588375e-05     3.805742016508595e-06      
Lambda        AB|CNIa02|SDSS_i                      7457.7815790990735    All      -2.2679735342756763e-05    -4.322187020690025e-06     -8.058436634013759e-05     2.3835472747452402e-06     
MWEBV         All|All|All                           All                   All      -0.8927045269601943        -4.091113480916331         0.019526654663981624       -1.0409556359176453        
Redshift      All|All|All                           All                   All      4.786626426541174          -0.981607893850267         2.8060497433511356         -1.7536825750984808        
