#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5473.212591091324    All      0.2096419836929744         0.284149883899687         -0.4317333934771739       0.005003395863302854       
Zeropoint     AB|DECam|DECam_i          6649.269680793417    All      0.5692623071934781         -0.11091033072538892      -0.6697981411011855       -0.25144461995105194       
Zeropoint     AB|DECam|DECam_z          7791.966128432489    All      0.8794886516715277         0.03855468695252995       0.8023215011648155        -0.2381159345470417        
Zeropoint     AB|DECam|DECam_g          4118.063704770487    All      -0.6621802851159109        0.788003185347641         0.305513708121663         0.48600613956880123        
Check         All|All|All               All                  All      0.9962126574420691         0.999797425474469         0.0063036747081191        0.0014489809340104687      
Lambda        AB|DECam|DECam_r          5473.212591091324    All      3.962494957597738e-05      -3.594239838825617e-05    -0.0005352805802836775    -4.8501885167132695e-05    
Lambda        AB|DECam|DECam_i          6649.269680793417    All      -0.00027715985390487446    -5.465771333265642e-05    -0.0004411926926619611    5.278786373860891e-05      
Lambda        AB|DECam|DECam_z          7791.966128432489    All      -0.00021737386412307142    6.989062481136988e-05     0.0002362724961560091     0.00010411525111003732     
Lambda        AB|DECam|DECam_g          4118.063704770487    All      -0.0006158624242633005     0.0007119290372763006     0.0002470983953977599     0.0004435322285697375      
MWEBV         All|All|All               All                  All      -0.43770229698659247       -3.342359556699215        0.11028698371481349       -0.9412208283204212        
Redshift      All|All|All               All                  All      5.394703654274387          -0.8668925839160124       -2.819285616786249        -2.1654196637427088        
