#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5473.212591091324    All      0.19538856691416623       0.24056665668616972        -0.6151781597827          -0.012736585706262675      
Zeropoint     AB|DECam|DECam_i          6649.269680793417    All      0.49793793849784246       -0.08200373182702947       -0.7031086247851284       -0.22028259020209595       
Zeropoint     AB|DECam|DECam_z          7791.966128432489    All      0.9342343476567043        0.05254519839983374        0.9822936702936159        -0.24335990763082907       
Zeropoint     AB|DECam|DECam_g          4118.063704770487    All      -0.6308330366134218       0.7882991824434527         0.34265658178818276       0.4775492412905067         
Check         All|All|All               All                  All      0.9967278164552912        0.9994073057024266         0.006663467513970345      0.001170157751319012       
Lambda        AB|DECam|DECam_r          5473.212591091324    All      1.999735574413221e-05     -2.7956592979765877e-06    -0.0005003533529581851    -2.9752906969830672e-05    
Lambda        AB|DECam|DECam_i          6649.269680793417    All      -0.0002694874565650499    -4.335922902287821e-05     -0.000359052782157285     5.763452651030084e-05      
Lambda        AB|DECam|DECam_z          7791.966128432489    All      -0.0002455418384058308    2.360485892863654e-05      1.9725801183224346e-05    8.855020589464791e-05      
Lambda        AB|DECam|DECam_g          4118.063704770487    All      -0.0005518160583225818    0.000696837487349443       0.00038167632355439504    0.00042376000065113254     
MWEBV         All|All|All               All                  All      -0.42127440892902657      -3.3396253781777574        0.16605989796165038       -0.9431924310188876        
Redshift      All|All|All               All                  All      4.853942391446258         -1.1122697377402346        -5.135394252967278        -2.172560632522153         
