#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           3975.530300953194     All      2.2056440881780417       1.0382269278496281        -0.377357446942167         -0.3971059057197038        
Zeropoint     AB|MEGACAMPSF|r           3251.402849989795     All      -1.4654118229676882      -0.12531434825717724      0.6313489588845811         0.46468803976472267        
Zeropoint     AB|MEGACAMPSF|z           4579.2157173711375    All      0.2601030131754326       0.08646877591846902       -0.2637438075916265        -0.0683280582726438        
Check         All|All|All               All                   All      1.0003352783857862       0.9993813555109199        -0.009752295649212428      -0.0007459242276249001     
Lambda        AB|MEGACAMPSF|i           3975.530300953194     All      0.0014928076711593257    0.0007316508741650189     1.7254731572870575e-05     -0.00024716381067388393    
Lambda        AB|MEGACAMPSF|r           3251.402849989795     All      -0.003147472669473418    -0.0003548827945281968    -0.0009759440046065899     0.0008660864971707226      
Lambda        AB|MEGACAMPSF|z           4579.2157173711375    All      6.747595128445616e-05    7.689157345697305e-06     -0.00019361563144949687    -2.8114702100110725e-05    
MWEBV         All|All|All               All                   All      -0.6684580121792012      -1.6806550692042066       -0.012071123157997299      -0.3302445605529808        
Redshift      All|All|All               All                   All      5.3890357202455395       0.8851895117139463        3.6347908885855205         -1.3048468588910025        
