#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           3975.530300953194     All      2.2824684512041635        1.059424576366652        0.21707370956806332       -0.388698624308367        
Zeropoint     AB|MEGACAMPSF|r           3251.402849989795     All      -1.6433196309745854       -0.17786222604261326     -0.0738111005454583       0.47405383848770183       
Zeropoint     AB|MEGACAMPSF|z           4579.2157173711375    All      0.3600988462338222        0.118137761838355        -0.14201068890925672      -0.08515197028535355      
Check         All|All|All               All                   All      0.9992476664634           0.9997001121623939       0.0012519201133482927     0.00020324389398128362    
Lambda        AB|MEGACAMPSF|i           3975.530300953194     All      0.0019103956849182892     0.0008796769836694704    3.5511411789471424e-05    -0.0003341542794246453    
Lambda        AB|MEGACAMPSF|r           3251.402849989795     All      -0.0037549114230441137    -0.0004146619183914      -0.0003966306718212675    0.0010703293493854072     
Lambda        AB|MEGACAMPSF|z           4579.2157173711375    All      2.9017487968676354e-05    4.796245468578845e-06    -0.0001338953030153049    -1.386478795218055e-05    
MWEBV         All|All|All               All                   All      -0.664360829539254        -1.6818167177355292      -0.023135160122324153     -0.33245127203030417      
Redshift      All|All|All               All                   All      5.132333775981943         0.5264369579256467       0.4169147974834102        -1.4816871305540942       
