#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6456.975484990681     All      1.0176424435812337        0.03382972871683876        0.47518098703489553       -0.2992550226842392       
Zeropoint     AB|SDSS|SDSS_g            4074.8211233600446    All      -0.7706628506400315       0.5216124046295789         -0.40392113229341664      0.40291142024280535       
Zeropoint     AB|SDSS|SDSS_u            3098.8466556089143    All      -0.0673034370238901       0.053278533520639826       0.16566808385372056       0.04667052053175559       
Zeropoint     AB|SDSS|SDSS_z            7676.805606877291     All      0.12765616443835381       0.008604619399577018       0.19299496877661637       -0.030166525835954514     
Zeropoint     AB|SDSS|SDSS_r            5324.573067545339     All      0.6851868263132235        0.38373457631983854        -0.4202393290734463       -0.11694626647441274      
Check         All|All|All               All                   All      0.9925191466688895        1.001059862586473          0.009683578298369522      0.0032141257799544742     
Lambda        AB|SDSS|SDSS_i            6456.975484990681     All      -0.0003349702869813556    -4.8701600918749446e-05    -0.0005345208079773484    6.939392031586626e-05     
Lambda        AB|SDSS|SDSS_g            4074.8211233600446    All      -0.0006744877275775223    0.00026882991346188377     -0.0014105029278100524    0.0002443253224525827     
Lambda        AB|SDSS|SDSS_u            3098.8466556089143    All      -5.657881494149467e-05    4.8834643515587796e-05     0.0001609377006415386     4.15185418387535e-05      
Lambda        AB|SDSS|SDSS_z            7676.805606877291     All      -5.528393770222047e-06    2.6976559809426545e-06     2.2867131888637838e-05    3.699950104204588e-06     
Lambda        AB|SDSS|SDSS_r            5324.573067545339     All      0.00015097605703217302    6.817538681051075e-05      -0.000900737967728778     -6.716670091221657e-05    
MWEBV         All|All|All               All                   All      -0.7516027545985557       -3.281726040838606         0.36611222189022463       -0.8078064859417231       
Redshift      All|All|All               All                   All      6.200485925756225         -0.2991542374367384        3.901132863368084         -1.9430569905249304       
