#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP      6094.158875797645    All      3.5710220420092624        -1.1083114348283019        0.7448800300525971        -1.4909722842737325        
Zeropoint     VEGAHST|ACSWF|F775W       5188.429522361947    All      -2.5714828956528892       2.1103251679276624         -0.7444414288786172       1.4917979113433815         
Check         All|All|All               All                  All      0.9995391463563735        1.0020137330993606         0.000438601173979869      0.0008256270696489487      
Lambda        VEGAHST|ACSWF|F850LP      6094.158875797645    All      -4.986330311319224e-05    -0.00021796774549977753    -0.00119125840136164      -0.00010791753855802281    
Lambda        VEGAHST|ACSWF|F775W       5188.429522361947    All      -0.0019419905859096682    0.00028596955959754643     -0.0071086643444861364    0.00040849287632332705     
MWEBV         All|All|All               All                  All      -0.3526074441032816       -2.3464114693272364        -0.036588312209207        -0.6510803335493864        
Redshift      All|All|All               All                  All      -1.2842101709457772       0.7128892594311154         -11.173024761504813       0.15192020783411503        
