#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6539.660771002687    All      0.3575451581450679         -0.032801615464794764      0.1284640035114082         -0.12141602772925073       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5382.601828398444    All      0.3150229958100844         0.24355059433669446        -0.05745749440125847       -0.025844976614450288      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6328.498995436012    All      0.15736680717968254        -0.0314628457764865        -0.10731619189348063       -0.06629705903764688       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5379.937735053721    All      0.1770165633579398         0.17569610378429523        0.15407041188749693        0.006445337737766288       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7896.185257679008    All      0.20556875041053924        -0.048478944995533624      0.048284514463681205       -0.08059697619692135       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7845.552691397667    All      0.17451245945277363        -0.03499473517654117       0.10395407701478954        -0.06360439285937741       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4392.759233775591    All      -0.12228624269708162       0.06697757033600205        -0.11543232027864114       0.05649823620681102        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4366.967691908009    All      -0.7113175971767377        0.5087337799317471         -0.04185113725961864       0.39554324798173196        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6385.980720977533    All      0.6366623596078184         -0.08298729216420497       0.008965827287266137       -0.23401346365917522       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5349.386026943786    All      0.04399220480108637        0.03106187077799305        -0.1391440313076142        -0.01042119423851351       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4381.856293879224    All      -0.2828227150790792        0.21602068727308854        0.045295121685540174       0.16451102085442565        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8172.983064381957    All      0.046031760946693916       -0.014835350762298916      -0.02772509802319023       -0.021063664540120486      
Check         All|All|All                                      All                  All      0.9972925047587877         0.9964798220999604         0.00010768268637884049     -0.00025991209472095433    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6539.660771002687    All      -9.51961564093538e-05      8.101375249380764e-06      -4.0178726117519946e-05    3.185441243668871e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5382.601828398444    All      7.257180458231083e-07      -1.6401531609679764e-05    -0.0010586143961661936     -5.282000714341089e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6328.498995436012    All      -2.8387684813259184e-05    4.2021164059243815e-06     -3.0375597838657395e-06    1.0480018087555037e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5379.937735053721    All      5.4120639510372735e-05     2.548134275168526e-05      4.105851665309977e-05      -7.496508135899938e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7896.185257679008    All      1.772356403403489e-05      1.4753569643689854e-06     7.067265555104092e-05      -2.138779563248631e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7845.552691397667    All      7.368747289455806e-06      -1.197447682653263e-06     1.1237174741526229e-05     -2.288828023622142e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4392.759233775591    All      -9.628626036362205e-05     5.3735257054909334e-05     -8.93944945001882e-05      4.4877678069057206e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4366.967691908009    All      -0.0004306608201759849     0.00011858032062893193     -0.0010451383407683445     0.00013226618505526177     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6385.980720977533    All      -0.00016659242204361907    -2.7264698369419124e-06    -0.00031408642561735304    3.936029703488592e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5349.386026943786    All      1.06711880291335e-05       1.8542163434268194e-05     -0.00017682739090007544    -5.327158680187506e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4381.856293879224    All      -6.909022117306224e-05     4.712602508780222e-05      -2.990304418811139e-05     3.652101928569811e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8172.983064381957    All      1.6794059104103341e-06     -5.75840575081209e-07      -2.1694315361621666e-06    -8.314197413504105e-07     
MWEBV         All|All|All                                      All                  All      -0.8384716760440445        -4.084460740856644         0.04030049048564521        -1.055527002480803         
Redshift      All|All|All                                      All                  All      3.9173872256544238         -0.43274532599668625       1.7877449647231258         -1.3372024402228149        
