#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6539.660771002687    All      0.37368739823311814        -0.03138513463052384       0.16492427487678363        -0.12458563752622887       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5382.601828398444    All      0.29030244244722947        0.22917720552557697        -0.07630347690164875       -0.023315574350872434      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6328.498995436012    All      0.1902811167324819         -0.03742391569834247       -0.11623506303491248       -0.07935805735068645       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5379.937735053721    All      0.1909458793324585         0.18288839091207265        0.1771607584134719         0.0052812819160455455      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7896.185257679008    All      0.1902184417762165         -0.04392491599176651       0.05254772399362615        -0.0739232311338294        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7845.552691397667    All      0.16362137132227203        -0.03110974316382631       0.11381120115741697        -0.05835145925978248       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4392.759233775591    All      -0.14579768696206477       0.08134822202143788        -0.12334952943972          0.0684843724593684         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4366.967691908009    All      -0.6550441736601156        0.4625061579240697         -0.043691836220874136      0.36207314332961743        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6385.980720977533    All      0.602850269110634          -0.07992380144181688       -0.03578794744352855       -0.2239990291049558        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5349.386026943786    All      0.058513911994155295       0.04282025265567313        -0.12241681706299115       -0.010574841458016924      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4381.856293879224    All      -0.3172043839056099        0.23981900337632922        0.04840086146514598        0.18360075091291994        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8172.983064381957    All      0.05422714209575892        -0.018151166468438618      -0.03840474921038856       -0.025289823845609374      
Check         All|All|All                                      All                  All      0.9966017285165345         0.9966405550204449         0.0006554005923809988      4.189458796957993e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6539.660771002687    All      -0.00011161588441079344    1.0607323162099432e-05     -6.0513480328746065e-05    3.711168103187449e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5382.601828398444    All      -9.335701999792163e-06     -3.310547591243501e-05     -0.0010585420619538407     -5.498046788284008e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6328.498995436012    All      -4.3243994696927255e-05    5.4242855074598245e-06     -1.6628021904171203e-05    1.5110827753588152e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5379.937735053721    All      3.3235815990282765e-05     2.4981411857522462e-05     4.947242361738057e-05      -4.810039404492403e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7896.185257679008    All      1.946433901736802e-05      2.863647719066495e-06      9.647347180116027e-05      -1.102223342522009e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7845.552691397667    All      9.074564554210682e-06      -1.6487534401764104e-06    1.0795433108839697e-05     -3.0111868594384543e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4392.759233775591    All      -9.017093394645656e-05     5.0983447355161923e-05     -8.151097766321366e-05     4.234116526441636e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4366.967691908009    All      -0.0003218139552678786     7.499936249666286e-05      -0.00085054858619789       9.129907539264836e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6385.980720977533    All      -0.00020105679054700917    -9.703059234699648e-06     -0.00047686394006251606    4.104995815105694e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5349.386026943786    All      2.09788848633931e-05       1.7901841599809767e-05     -0.00021346645934784236    -1.0528321887373857e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4381.856293879224    All      -6.918737721972879e-05     3.968484325314951e-05      -3.3831123890997215e-05    3.39535363191569e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8172.983064381957    All      2.8312818587295346e-06     -9.575867978841485e-07     -2.0802475869643356e-06    -1.3269910671100315e-06    
MWEBV         All|All|All                                      All                  All      -0.8404395455345757        -4.083675211631332         0.02956089862359913        -1.055109388594568         
Redshift      All|All|All                                      All                  All      3.787621015952251          -0.11403065507953336       0.7386224912522077         -1.2379349803681539        
