#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4992.734173306569    All      -0.051082077176250795      1.1432743042247395        -0.35099894923037445      0.3733776955558401        
Zeropoint     AB|PS|PS_i                6047.282393771096    All      1.4377612141745661         -0.44901146327873676      -0.8966334369389894       -0.6545965662260407       
Zeropoint     AB|PS|PS_g                3931.496902817465    All      -0.7776426798211877        0.26688461052888357       0.21312702744707432       0.3497477827720914        
Zeropoint     AB|PS|PS_z                6949.803048621285    All      0.3820824310223374         0.04793958476021487       0.9811287467010257        -0.06505804819676939      
Check         All|All|All               All                  All      0.9911188881994653         1.0090870362351012        -0.05337661202126398      0.0034708639051214407     
Lambda        AB|PS|PS_r                4992.734173306569    All      -0.00021509377260416155    0.00013266809530256248    -0.0020401355968878866    2.2235599717616794e-05    
Lambda        AB|PS|PS_i                6047.282393771096    All      -0.00010559760245542742    0.000256063882193351      -0.0009607616523744306    7.49306639327301e-05      
Lambda        AB|PS|PS_g                3931.496902817465    All      -0.0009096812884123041     0.000277623638734123      6.655160052166833e-05     0.0003897141682142983     
Lambda        AB|PS|PS_z                6949.803048621285    All      -0.0002989157153829042     -2.831797931347583e-05    -0.0007724683438384465    5.367087067216977e-05     
MWEBV         All|All|All               All                  All      -0.5068974285101184        -3.0690717376160137       0.05223250621967647       -0.8322535686494461       
Redshift      All|All|All               All                  All      5.051885481229831          -0.9381541790450143       12.5556318331005          -1.3908528010228263       
