#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     AB|PS|PS_r                4992.734173306569    All      -0.023169244714797865      1.009034444980017         -0.6088650226526493       0.3090518506812384       
Zeropoint     AB|PS|PS_i                6047.282393771096    All      1.45177484515042           -0.24388347334109994      -1.2106946050458478       -0.6063594395383717      
Zeropoint     AB|PS|PS_g                3931.496902817465    All      -0.7812271899087966        0.26564970641285157       0.829356112972246         0.37801260058594327      
Zeropoint     AB|PS|PS_z                6949.803048621285    All      0.3439419485677948         -0.023124722484446636     0.9422391711316536        -0.07751788423687456     
Check         All|All|All               All                  All      0.9913203590946204         1.007675955567322         -0.04796434359459756      0.0031871274919354486    
Lambda        AB|PS|PS_r                4992.734173306569    All      -0.0001774852695387538     0.0002613730787626799     -0.0028474928500223785    1.588007421770938e-05    
Lambda        AB|PS|PS_i                6047.282393771096    All      -0.00018893051188557795    0.00037303142080479803    -0.0009287039623857925    0.000141605697017434     
Lambda        AB|PS|PS_g                3931.496902817465    All      -0.0009009253186713494     0.0002817234409575933     -6.48732238920683e-05     0.000382332614969293     
Lambda        AB|PS|PS_z                6949.803048621285    All      -0.0003189666508581076     5.203618328626393e-05     -0.0009410968624008351    7.885099804412283e-05    
MWEBV         All|All|All               All                  All      -0.5052302364254726        -3.0748799009307604       0.0717794736796118        -0.8338162464531534      
Redshift      All|All|All               All                  All      5.412859352757367          -2.2576223042641175       16.780876533187328        -1.7496747791448928      
