#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5118.803753297091    All      0.8092723292357005         0.39130559703899337        -0.02541335304865333      -0.13727959660077282      
Zeropoint     AB|SDSS|SDSS_z            7380.133741301321    All      0.14329904429662838        1.0336899336493843e-06     0.05792287637910176       -0.04409204447646834      
Zeropoint     AB|SDSS|SDSS_g            3917.348751847522    All      -1.0400457825330984        0.5840522615656596         0.027373010066800152      0.5302436959211433        
Zeropoint     AB|SDSS|SDSS_i            6207.444226651354    All      1.0851006590012489         0.023318805751593175       -0.06060114363982683      -0.34856163189847295      
Check         All|All|All               All                  All      0.9976262500004789         0.9986776980461798         -0.0007186102425782437    0.0003104229454292118     
Lambda        AB|SDSS|SDSS_r            5118.803753297091    All      4.098027280654613e-05      6.7690246900163235e-06     -0.0011380021965435867    -6.192754040488639e-05    
Lambda        AB|SDSS|SDSS_z            7380.133741301321    All      -2.9639892171549866e-05    -5.703511469836514e-06     -9.687394285612924e-05    3.4738275343399497e-06    
Lambda        AB|SDSS|SDSS_g            3917.348751847522    All      -0.001116630151475708      0.00040123290408553756     -0.001643746407604824     0.00042106508069035336    
Lambda        AB|SDSS|SDSS_i            6207.444226651354    All      -0.00010114541256801813    -2.1880183702328445e-05    -0.0001693592176861714    1.8261568743545346e-05    
MWEBV         All|All|All               All                  All      -0.5732053141453624        -3.1956763491921336        0.10395208260250977       -0.8495861888372077       
Redshift      All|All|All               All                  All      5.278169627141067          0.7189685170056137         0.8082431145538194        -1.449013616756215        
