#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4091.7517545377605    All      -2.302487237308659        0.6485478198391625        -0.11647394193424754      0.9560515071996188        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5118.996715905458     All      3.2998697488530793        0.3541562251423436        0.11143053100749478       -0.9545431729520225       
Check         All|All|All                                All                   All      0.9973825115444201        1.0027040449815061        -0.005043410926752756     0.0015083342475963324     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4091.7517545377605    All      -0.0019515813453909623    0.0005141561218035001     -0.0014355945722322012    0.0007391078211070524     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5118.996715905458     All      0.001097754541213605      -0.0002664705197854602    -0.0027076746417546084    -0.0005652040674004712    
MWEBV         All|All|All                                All                   All      -0.8210597138207252       -3.7537494654437786       0.014080828986995364      -0.954645172003855        
Redshift      All|All|All                                All                   All      6.97684486827132          0.5652483573784117        11.711766215792075        -1.5658255828434509       
