#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4091.7517545377605    All      -2.3441225846683515       0.6843352969421623         -0.45422551134234807      0.9661983669565513       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5118.996715905458     All      3.3425602010191544        0.3168431510682801         0.45268918521960677       -0.9653741470930906      
Check         All|All|All                                All                   All      0.9984376163508025        1.0011784480104424         -0.0015363261227412939    0.0008242198634607067    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4091.7517545377605    All      -0.0018897315155228553    0.0004867034637712553      -0.0014907044901185035    0.0007075597603087543    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5118.996715905458     All      0.0010197341290805603     -0.00020596581825716896    -0.0031548592856570326    -0.000540037677352685    
MWEBV         All|All|All                                All                   All      -0.8253381629802394       -3.752321196016073         0.012499774071066757      -0.952856861233908       
Redshift      All|All|All                                All                   All      6.96381441449614          0.2191349780198415         14.85159409956787         -1.5342055520636808      
