#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                            7459.402682448656    All      0.7898827993359013        -0.2182272307826416        0.42931649383857634       -0.3092161793037974        
Zeropoint     AB|PS|PS_r                            6158.603528004157    All      0.2839376828125031        -0.5352051633201071        -3.4723346136450783       -0.42177611993550035       
Zeropoint     AB|PS|PS_g                            4849.55334203056     All      -1.4911909547730247       0.8273424350742076         -2.3805786487764267       0.6489883110634729         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5429.613855262997    All      0.9605118784757537        1.0583816708198412         5.204545491006003         0.2641343728377557         
Zeropoint     AB|PS|PS_z                            8572.673827300314    All      0.49511901347746967       -0.12957134362956424       0.3198432211573093        -0.18920906703859366       
Check         All|All|All                           All                  All      1.0382604193286034        1.0027203681617358         0.10079194358038396       -0.007078682376662843      
Lambda        AB|PS|PS_i                            7459.402682448656    All      0.00023056718656355187    -9.455137197187451e-05     0.00011211350497218523    -0.00010089869978965375    
Lambda        AB|PS|PS_r                            6158.603528004157    All      -7.811322714933535e-06    -6.394298325256018e-06     9.220776035001324e-05     4.576380311931378e-06      
Lambda        AB|PS|PS_g                            4849.55334203056     All      -0.0014747501883713196    0.0007935428996180499      -0.0023411162723267873    0.0006343844165083387      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5429.613855262997    All      -5.737088151040249e-05    0.00026822042999413194     7.929669364548908e-05     0.00010959444903386529     
Lambda        AB|PS|PS_z                            8572.673827300314    All      0.0006770596614985546     -0.00016032953905156265    0.00043861409408378263    -0.00025319187936828635    
MWEBV         All|All|All                           All                  All      -0.5834012776890543       -4.147418504537725         0.2779981456799369        -1.1485118830262282        
Redshift      All|All|All                           All                  All      8.274014558355436         -5.797635517552457         -2.6560483058138504       -4.702126610359737         
