#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                   dc/dP                      
Zeropoint     AB|PS|PS_i                            7459.402682448656    All      -0.011337714426659873     -0.09247980061100058       -2.13685616326984       -0.121788723306941         
Zeropoint     AB|PS|PS_r                            6158.603528004157    All      1.7859600555290736        -0.41870839794924675       3.2115609836182557      -0.5748158302028076        
Zeropoint     AB|PS|PS_g                            4849.55334203056     All      -0.7731057982805467       0.6460237426894944         0.7670589402550831      0.49648749699836725        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5429.613855262997    All      -0.04431452475941311      0.7969282543744571         -0.18065321200992912    0.2659587260874625         
Zeropoint     AB|PS|PS_z                            8572.673827300314    All      -0.0035196630933734263    -0.07840020324840768       -1.4859125469229184     -0.09070050784477984       
Check         All|All|All                           All                  All      0.9536823549690806        0.8533635952552965         0.17519800167065114     -0.02485883826869867       
Lambda        AB|PS|PS_i                            7459.402682448656    All      0.01903844374940288       -0.0002448511657278285     0.13347359172602946     -0.00032489017871813354    
Lambda        AB|PS|PS_r                            6158.603528004157    All      0.016680725581122498      -0.0004569102270763906     0.11233166478278833     -0.0005694455156211354     
Lambda        AB|PS|PS_g                            4849.55334203056     All      -0.0002874760315697126    0.0010711085204294993      0.006470312218560008    0.0007312760019354831      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5429.613855262997    All      0.010149714677362705      -0.0002098737456896822     0.06844195347541064     -0.0003202087286388042     
Lambda        AB|PS|PS_z                            8572.673827300314    All      0.016666687289774655      -0.00043437680833777783    0.11187003847828395     -0.0005781331682695537     
MWEBV         All|All|All                           All                  All      -0.6870274571830102       -4.430597910432255         -6.621574051678181      -1.5148944945697573        
Redshift      All|All|All                           All                  All      30.00682452288            -6.9748506818704925        119.25169639289379      -6.724492768379167         
