#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_V
@MAGSYS  Linear_AB11_off
58288.1538  18.073  0.016
58288.15777  18.029  0.018
58289.4939  17.925  0.047
58289.49578  17.755  0.04
58295.45104  18.044  0.05
58295.44916  18.048  0.052
58298.09163  18.376  0.047
58298.09352  18.299  0.044
58302.88638  18.616  0.049
58302.88449  18.651  0.044
58306.15073  18.93  0.037
58306.15263  18.95  0.035
58309.40195  19.162  0.03
58309.40384  19.185  0.032
58312.01456  19.367  0.057
58312.01268  19.309  0.061
58316.51162  19.502  0.043
58316.50964  19.503  0.049
58318.74053  19.378  0.165
58318.73865  19.607  0.175
58324.88708  19.857  0.407
58326.39648  19.794  0.108
58326.39459  19.68  0.107
58328.07618  18.959  0.097
58328.07807  19.174  0.133
58334.48492  19.887  0.047
58334.4821  19.892  0.049
58340.07782  20.065  0.073
58350.05895  20.092  0.198
58350.05613  20.127  0.227
58352.02507  20.028  0.208
58352.02225  20.408  0.275
58361.72917  20.166  0.153
58361.72636  19.902  0.13
