#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5343.823627699322    All      0.45790658546052654        0.4385710669291498         0.07978041150940951        -0.002737981157846142      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4591.258795140731    All      -0.8281841973664229        0.7034237903366325         -0.08356513244640885       0.4951659819406832         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7344.30811625031     All      0.5343758109232966         -0.19410388886154095       0.0784524506334163         -0.23378883193747868       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6052.28729727695     All      1.3050340663626643         -0.16074133121515288       0.018657481826792232       -0.47661867184610646       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4264.195347664463    All      -0.47061550436325994       0.20986367948205853        -0.09337392175573726       0.21748760800155784        
Check         All|All|All                      All                  All      0.9985167610168048         0.997013316671147          -4.8710232528073605e-05    -0.000491894999190251      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5343.823627699322    All      0.00016092182299158966     0.00032241317797228287     -0.0012591873268533828     -3.5886999342736992e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4591.258795140731    All      -0.0004914743800030617     0.00047085209311468584     -0.00041482480907908503    0.00029494966588726804     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7344.30811625031     All      7.698889967821881e-05      -9.765060453922559e-05     -0.00045289421835136885    -7.709642088976611e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6052.28729727695     All      -0.0001402967737347507     -4.0381084480643665e-06    -0.0008749295324918811     5.339843431693358e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4264.195347664463    All      -0.00042705814959025556    0.00020383074892012752     -0.00014314657675495665    0.00019911329560096222     
MWEBV         All|All|All                      All                  All      -0.8214158744552926        -3.9994422913116168        0.0034739056849588776      -1.035032733478008         
Redshift      All|All|All                      All                  All      8.756184233984065          -3.103867528266946         11.452004948492524         -3.3521586593835617        
