#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6977.9018417446505    All      0.16995289881184203       0.011770457436810489       0.3566742234591457        -0.03560849275606794       
Zeropoint     AB|SDSS|SDSS_r            4839.818814904436     All      0.7054403125545633        0.4790709516061753         0.5034437984690503        -0.05126956369971602       
Zeropoint     AB|SDSS|SDSS_g            3703.845489587705     All      -1.058870404405515        0.40392891313985047        -0.2333945671070899       0.4660665348051121         
Zeropoint     AB|SDSS|SDSS_i            5869.126227249109     All      1.1811212436828773        0.10421510418048285        -0.6203990264041552       -0.37846931795432043       
Check         All|All|All               All                   All      0.9976440506437676        0.9989854263633191         0.0063244284169508        0.0007191603950077452      
Lambda        AB|SDSS|SDSS_z            6977.9018417446505    All      -8.82028108829265e-05     -6.2273841927989004e-06    -0.0002049294054560314    1.7557035225619315e-05     
Lambda        AB|SDSS|SDSS_r            4839.818814904436     All      -0.0001422718863904564    -6.022604842576233e-05     -0.001120217028565334     -2.3265112361158546e-05    
Lambda        AB|SDSS|SDSS_g            3703.845489587705     All      -0.0018491078354250592    0.000579576601374174       -0.0013138310901582675    0.0007324721750643487      
Lambda        AB|SDSS|SDSS_i            5869.126227249109     All      -0.0002194176522209081    -4.10391650010356e-06      0.00034268509773590196    8.54272293519945e-05       
MWEBV         All|All|All               All                   All      -0.5470810261809596       -2.937699975513297         0.0839566275179796        -0.7749566421375813        
Redshift      All|All|All               All                   All      5.457955468979135         -0.6437363976651511        4.562011247395349         -1.7839401712544378        
