#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6977.9018417446505    All      0.17934377150067565        0.0216735830868231        0.3911781137886372         -0.03390188495922125       
Zeropoint     AB|SDSS|SDSS_r            4839.818814904436     All      0.9856835698662003         0.4517865526324272        1.1105341776714628         -0.12434978335269797       
Zeropoint     AB|SDSS|SDSS_g            3703.845489587705     All      -1.4026478893333059        0.3652692703393967        -1.3523712179175584        0.5155186654130284         
Zeropoint     AB|SDSS|SDSS_i            5869.126227249109     All      1.2337962615843703         0.16018555010983704       -0.1524700667840717        -0.3565143682814173        
Check         All|All|All               All                   All      0.9961757136179404         0.998914956168484         -0.0031289932415301536     0.0007526288196918474      
Lambda        AB|SDSS|SDSS_z            6977.9018417446505    All      -4.9812069388098644e-05    -3.381016734949897e-06    -0.00010177904672983071    1.0582189984091836e-05     
Lambda        AB|SDSS|SDSS_r            4839.818814904436     All      -0.00016010435644283046    -9.763572626434625e-05    -0.0015242089557303436     -4.7670357249698014e-05    
Lambda        AB|SDSS|SDSS_g            3703.845489587705     All      -0.0016046127906846417     0.0005158076395253998     -0.000170381217038639      0.0006830873626956835      
Lambda        AB|SDSS|SDSS_i            5869.126227249109     All      -0.00024342261884711968    -1.300270814361392e-05    0.0004010771657590237      9.295357733305929e-05      
MWEBV         All|All|All               All                   All      -0.5951482435681132        -2.9363483375197674       -0.05937794047676803       -0.7652556585657888        
Redshift      All|All|All               All                   All      5.219224389257548          0.19377288219804          3.821392260735812          -1.4664237027161895        
