#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r7                    6367.053575237962     All      0.048185250599017855       0.0002865130964480045      0.04607023223894835        -0.013546291754343298      
Zeropoint     Linear_AB11_off|NB99|NB99_v7                    5336.737234465562     All      0.012763724499286883       0.006488584066310921       0.01518736236585383        -0.0013662774556527646     
Zeropoint     Linear_AB11_off|NB99|NB99_b8                    4355.9779115119       All      -0.05237965162602698       0.04296163601145153        -0.01790206358187607       0.030256907142267586       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3608.838568166977     All      -0.08173836118483752       0.054064536851150535       0.08602088120697182        0.04807418852161016        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5348.955907973602     All      0.1549780462631867         0.08321432529339035        0.27823598342702205        -0.010959410827457439      
Zeropoint     Linear_AB11_off|NB99|NB99_v10                   5392.39579112067      All      0.1128453265430307         0.047605324417254735       -0.09338247313115389       -0.02541804591034008       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3581.475572652447     All      -0.11118772301288232       0.046680193257842006       -0.08969762448036711       0.04741998101528144        
Zeropoint     Linear_AB11_off|NB99|NB99_b7                    4387.720866687945     All      -0.028921073268465387      0.010937624935003498       -0.05815395724799721       0.010388145296577611       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5425.9009401856965    All      0.18438631625223886        0.06954025612451176        0.04071681976767216        -0.03559213544610945       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4378.146171536491     All      -0.17055889621549214       0.14110269516542928        0.027963916366280372       0.10276633482837194        
Zeropoint     Linear_AB11_off|NB99|NB99_v1                    5479.734944258642     All      0.011157123495563248       -0.0055423370072915645     -0.19295096615874474       -0.014050079109642621      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6511.700232880326     All      0.11470665568701206        -0.012050725555035058      -0.14765577926292295       -0.047878248534549694      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4337.0685554397505    All      -0.14804659475968474       0.11822549509403757        0.03854781133125762        0.08845379153293309        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4303.564697487731     All      -0.15090875047627594       0.06563874805651793        -0.2868576751858587        0.05773550391932614        
Zeropoint     Linear_AB11_off|NB99|NB99_i1                    7926.989734746124     All      0.018620970084206205       -0.0008133106012664371     0.020086559530074766       -0.005434013690505668      
Zeropoint     Linear_AB11_off|NB99|NB99_v8                    5363.739849355469     All      0.01522675214085763        0.011272487774860451       -0.0352623878040248        -0.0028616324088431844     
Zeropoint     Linear_AB11_off|NB99|NB99_r10                   7331.191663426        All      0.1293341946543992         -0.007887515348858898      0.08669470611377683        -0.04082883884875266       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7879.913371312964     All      0.0659328277953344         -0.010093041565983896      0.010149804004067065       -0.02431118769145313       
Zeropoint     Linear_AB11_off|NB99|NB99_b1                    4242.384009316652     All      -0.031561549230561474      0.009516032983469813       -0.07213964627468261       0.010161058851596017       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.368459151811     All      0.2002630434623502         0.007667211412432096       0.20662955731300947        -0.05351387058567941       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5368.395906403731     All      0.1787882784196131         0.0842013099760841         0.156974560819223          -0.02380503374960763       
Zeropoint     Linear_AB11_off|NB99|NB99_r1                    6522.364622467109     All      0.018840700559245686       -0.002734234956669468      -0.016492508578203058      -0.0077636512023221416     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8198.015647924633     All      0.032581692196925895       -0.0035170917195515017     0.004711021688486028       -0.011548330275294727      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.739149517773     All      -0.11516721824803075       0.13422464186039207        0.24766974280181486        0.09228749670106562        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7894.781139710321     All      0.07188119200232207        -0.005297887969391013      0.06675354031533409        -0.02216086154674668       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5348.839928975804     All      0.009752752959409056       0.018678215740930426       -0.49083405703820304       -0.01899635277938516       
Zeropoint     Linear_AB11_off|NB99|NB99_b10                   4399.914456135775     All      -0.15353175583870116       0.1201910403707096         -0.03481942013330297       0.08760668913718184        
Zeropoint     Linear_AB11_off|NB99|NB99_r8                    6387.535899697487     All      0.0779921727091351         0.0007331863365322988      0.015121188799782637       -0.02449100439968488       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8185.874181030739     All      0.05472609707964734        -0.005420393883781571      0.03736277267603061        -0.01792436192404323       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6484.467209138915     All      0.20460646317541584        -0.014525706644086256      -0.011564938765884492      -0.07189464704574211       
Zeropoint     Linear_AB11_off|NB99|NB99_i10                   7875.706192848762     All      0.05994019334887628        -0.00652215248226895       0.02678745980535524        -0.020453571282674776      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6368.6744708044425    All      0.2520423270654275         -0.0029974929789844396     0.12262042697779307        -0.07760287346855188       
Zeropoint     Linear_AB11_off|NB99|NB99_i7                    8392.090405300041     All      0.011003104542156094       -0.00028285405395678254    0.01657917763340233        -0.0029363554593930807     
Check         All|All|All                                     All                   All      0.9965536316736994         0.9955453140576331         0.0031700275389345833      -0.00018697845056425688    
Lambda        Linear_AB11_off|NB99|NB99_r7                    6367.053575237962     All      -1.932926903834792e-05     -5.807837093119972e-08     -1.8654397720076926e-05    5.444800710021558e-06      
Lambda        Linear_AB11_off|NB99|NB99_v7                    5336.737234465562     All      1.6230781991259919e-06     7.653746789162465e-07      2.0863818321130723e-06     -1.8627661537793308e-07    
Lambda        Linear_AB11_off|NB99|NB99_b8                    4355.9779115119       All      4.55905462384752e-06       -3.3984327906144014e-06    2.3348063799723447e-06     -2.4878237590898084e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3608.838568166977     All      -0.00014826720590579659    6.694784971539248e-05      -5.42843030578348e-05      6.768016485415821e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5348.955907973602     All      9.480318829270113e-06      7.69583225986891e-07       -0.00011159330729019368    -7.817269935517837e-06     
Lambda        Linear_AB11_off|NB99|NB99_v10                   5392.39579112067      All      6.2499972272645924e-06     -1.170609057422656e-05     -0.00021436083941475643    -1.5414828274043253e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3581.475572652447     All      -0.00013542325843468806    4.3659912294588624e-05     -0.00017157419717892618    5.067671195953218e-05      
Lambda        Linear_AB11_off|NB99|NB99_b7                    4387.720866687945     All      -1.0747132880395054e-05    3.758227689880548e-06      -2.1587738380750563e-05    3.761511534890155e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5425.9009401856965    All      -2.5462064813282455e-05    -2.1530790678127296e-05    -0.00042145533612107005    -1.7527070655840862e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4378.146171536491     All      -6.212328904995329e-05     -7.609628553984579e-06     -0.0002837176695928143     5.0958761438935335e-06     
Lambda        Linear_AB11_off|NB99|NB99_v1                    5479.734944258642     All      9.81182459861797e-06       -3.895242688573884e-06     -0.00010791073999351616    -9.280403474365982e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6511.700232880326     All      -2.945805901640456e-05     1.2164421271251783e-06     8.956436140243324e-06      1.039137879307592e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4337.0685554397505    All      -5.6296492849220945e-05    -5.081030333198735e-06     -0.000260279299444401      5.067491365517678e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4303.564697487731     All      -3.982792293380815e-05     7.71256324450313e-06       -9.849342323667217e-05     1.1090191268692896e-05     
Lambda        Linear_AB11_off|NB99|NB99_i1                    7926.989734746124     All      1.1911087278823118e-06     -3.0856804168412575e-07    -7.914120099828038e-07     -5.238111449296684e-07     
Lambda        Linear_AB11_off|NB99|NB99_v8                    5363.739849355469     All      2.1036193968716745e-07     1.338598761566391e-09      -5.798255772650255e-08     -7.067327405020584e-08     
Lambda        Linear_AB11_off|NB99|NB99_r10                   7331.191663426        All      -3.889799029626397e-05     -6.586236184254999e-07     -6.272254113831729e-05     9.656800827976875e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7879.913371312964     All      5.185700431794199e-06      2.1419716057569855e-06     2.903616556940036e-05      3.0430809673310594e-07     
Lambda        Linear_AB11_off|NB99|NB99_b1                    4242.384009316652     All      -2.9433480718746108e-05    8.918172980941328e-06      -7.127807778754953e-05     9.311582098629692e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.368459151811     All      -6.862431151021214e-05     -5.527473559974982e-06     -0.00010366645402920926    1.5926558224180943e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5368.395906403731     All      5.107718238827703e-06      -3.4736109001247076e-06    -0.00021926068682008432    -1.2579818642770022e-05    
Lambda        Linear_AB11_off|NB99|NB99_r1                    6522.364622467109     All      -3.061768427924263e-06     5.165732382074254e-07      4.13791228108175e-06       1.3502396249641329e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8198.015647924633     All      -3.857115644814807e-06     1.5257597340445733e-06     1.3369832263249635e-05     2.350013810724619e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.739149517773     All      -5.791368438078983e-05     3.0457275615594736e-06     -0.00021283944582289215    1.0358439043847908e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7894.781139710321     All      9.264256264156074e-06      2.552428079364177e-06      3.959082497159601e-05      -4.195065679749984e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5348.839928975804     All      9.340634672112635e-06      4.941464359836201e-06      2.1063678673951176e-05     -4.929792618713759e-07     
Lambda        Linear_AB11_off|NB99|NB99_b10                   4399.914456135775     All      -5.123876255744079e-05     -1.5469786304898678e-05    -0.0002841427917601858     -1.0288554457991363e-06    
Lambda        Linear_AB11_off|NB99|NB99_r8                    6387.535899697487     All      -1.9334655415067503e-05    -3.539247049821091e-07     6.217421358832609e-07      6.210393935733356e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8185.874181030739     All      -5.725213701201963e-06     -2.586128098286795e-07     -1.1866344205874508e-05    1.2511113143871255e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6484.467209138915     All      -7.996550840087675e-05     -1.019023691739571e-05     -0.00016504426927702753    1.5362933743494552e-05     
Lambda        Linear_AB11_off|NB99|NB99_i10                   7875.706192848762     All      1.4294433611568835e-06     2.0201933318376446e-06     2.592444260095369e-05      1.3493155071698428e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6368.6744708044425    All      -9.142320077390577e-05     -6.312531279069658e-06     -0.0001374654981895176     2.158889128432319e-05      
Lambda        Linear_AB11_off|NB99|NB99_i7                    8392.090405300041     All      -8.51114077439499e-07      1.7479327520757744e-08     -1.2898726300157726e-06    2.2536835656289768e-07     
MWEBV         All|All|All                                     All                   All      -0.952547685494666         -3.991895184191474         0.09286872695022375        -0.9858711671350578        
Redshift      All|All|All                                     All                   All      3.8523881228731853         0.5386995371619463         0.776436615376408          -1.044728589382629         
