#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r7                    6367.053575237962     All      0.05187702575339611        -0.000659098996536045      0.03650558860405051        -0.015483667462924181      
Zeropoint     Linear_AB11_off|NB99|NB99_v7                    5336.737234465562     All      0.00963302705012009        0.005502305029736476       0.012762372024401888       -0.0007759860107623956     
Zeropoint     Linear_AB11_off|NB99|NB99_b8                    4355.9779115119       All      -0.038811694111727774      0.03143870342681154        -0.01192277462690778       0.022350806975456987       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3608.838568166977     All      -0.0845017460435295        0.05675305752292914        0.06997685657217914        0.04913408238333785        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5348.955907973602     All      0.14132882487329912        0.09855430286780376        0.2619840014813269         -0.002241926320050022      
Zeropoint     Linear_AB11_off|NB99|NB99_v10                   5392.39579112067      All      0.09951527278591432        0.05003781510328764        -0.05130541725007057       -0.018405960861852234      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3581.475572652447     All      -0.08540964017813787       0.04003925119242524        -0.049433523622420324      0.0386568399460233         
Zeropoint     Linear_AB11_off|NB99|NB99_b7                    4387.720866687945     All      -0.02486830929120836       0.0130308524941114         -0.035730011665200775      0.010750537520256436       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5425.9009401856965    All      0.1626276399145359         0.06915279978114697        0.0011149489197858227      -0.030398075612826803      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4378.146171536491     All      -0.16586351807427135       0.14267780216039583        0.03479522693836569        0.10205480987792291        
Zeropoint     Linear_AB11_off|NB99|NB99_v1                    5479.734944258642     All      0.018753952587454086       -0.003061390670477948      -0.12734485967182188       -0.012788791215951672      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6511.700232880326     All      0.1381310532442883         -0.0067594337602727705     -0.04621408125537577       -0.04925792056565067       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4337.0685554397505    All      -0.16084607585861235       0.13071078389010893        0.027116398367993105       0.09617974147398578        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4303.564697487731     All      -0.12253719249540282       0.05599821352788581        -0.21558846706906729       0.048534132258901116       
Zeropoint     Linear_AB11_off|NB99|NB99_i1                    7926.989734746124     All      0.03552519150796525        -0.0033194544208470234     0.026271933676787748       -0.011480583392538225      
Zeropoint     Linear_AB11_off|NB99|NB99_v8                    5363.739849355469     All      0.010436551417129231       0.013358156547216282       -0.03880073022485401       -0.0007798354758038918     
Zeropoint     Linear_AB11_off|NB99|NB99_r10                   7331.191663426        All      0.10451353722729434        -0.012226901651235522      0.023090391471790248       -0.036995783468043844      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7879.913371312964     All      0.06632907762754113        -0.013191270302748137      -0.004898596697757827      -0.026120995334815017      
Zeropoint     Linear_AB11_off|NB99|NB99_b1                    4242.384009316652     All      -0.03255810412543327       0.013108595337030238       -0.06137889912493727       0.012136088039852477       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.368459151811     All      0.19334966318265442        0.0006935121945161882      0.12714161860679268        -0.05708070007785265       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5368.395906403731     All      0.1577168128232034         0.0899155006315766         0.1418688245096532         -0.015754163919805966      
Zeropoint     Linear_AB11_off|NB99|NB99_r1                    6522.364622467109     All      0.024751150367823264       -0.0036065341123325823     -0.011010068675352536      -0.009728359572859656      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8198.015647924633     All      0.03192227221345951        -0.004445460809598956      -0.0009783807873943388     -0.011889827749489086      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.739149517773     All      -0.1315517982066475        0.1355179286705699         0.15978032032613154        0.09412365822863109        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7894.781139710321     All      0.06708507613198829        -0.00794155514043382       0.03868342885745736        -0.022712378344935         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5348.839928975804     All      0.02226012150770164        0.03121723679422317        -0.33685716091349455       -0.012114760833429066      
Zeropoint     Linear_AB11_off|NB99|NB99_b10                   4399.914456135775     All      -0.15104974012217431       0.12441774821594365        -0.013501334716897528      0.0891263210038772         
Zeropoint     Linear_AB11_off|NB99|NB99_r8                    6387.535899697487     All      0.07419021667371203        -0.0008014491261754131     -0.018531997312925597      -0.02525425062923722       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8185.874181030739     All      0.05601574154265022        -0.008649939001958984      0.016473197940649355       -0.020328616425648288      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6484.467209138915     All      0.20862103330474407        -0.024396200595155904      -0.0688459056423583        -0.07897365569149938       
Zeropoint     Linear_AB11_off|NB99|NB99_i10                   7875.706192848762     All      0.06214909311042027        -0.008509137198675631      0.021489405419261857       -0.02205673673181011       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6368.6744708044425    All      0.24063785812323027        -0.0072650210667823956     0.0789980238002841         -0.07722480453725529       
Zeropoint     Linear_AB11_off|NB99|NB99_i7                    8392.090405300041     All      0.016015937916236216       -0.0013885691025450342     0.014564611205094887       -0.005019268822046661      
Check         All|All|All                                     All                   All      0.9953883123796163         0.9959031494319426         0.0002749394651697483      0.00017996865115780993     
Lambda        Linear_AB11_off|NB99|NB99_r7                    6367.053575237962     All      -1.601415987207322e-05     2.880487556163619e-07      -1.1043772878067265e-05    4.817332815437905e-06      
Lambda        Linear_AB11_off|NB99|NB99_v7                    5336.737234465562     All      2.638836546011171e-06      1.45617152589414e-06       3.5175705478543555e-06     -2.2825988764201444e-07    
Lambda        Linear_AB11_off|NB99|NB99_b8                    4355.9779115119       All      1.1060105801255742e-07     1.0786496840673592e-08     4.4523428006692014e-07     -1.2644125342904159e-08    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3608.838568166977     All      -0.00016019862706538143    8.000987264906594e-05      -3.475685879261544e-05     7.669277200646875e-05      
