#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5532.223925594302    All      -1.9630279777844097        2.3703278121162796       -0.32317213117462684      1.3970948560031808        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6624.843620906986    All      2.9593148847421777         -1.3639729674164158      0.32813428805683537       -1.3935939591839763       
Check         All|All|All                            All                  All      0.9962869069577687         1.0063548446998638       0.004962156882208524      0.003500896819204513      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5532.223925594302    All      -0.00020612307397788394    6.780654020964017e-05    -0.0009776152522205867    4.560140867534323e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6624.843620906986    All      -0.0008942776835531012     0.0003118768524030588    -0.0006577639999692704    0.00036353122734865477    
MWEBV         All|All|All                            All                  All      -0.5643447299986186        -3.2480656792033713      0.00016573103458012686    -0.87416880913779         
Redshift      All|All|All                            All                  All      6.426307796597887          -0.5085662745289099      4.28587588279781          -2.0676576792128656       
