#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4077.1387214619467    All      -0.6353940929598834        0.4162523854922995        -0.5554615232940378       0.31776815953123766       
Zeropoint     AB|PS|PS_i                4938.298004944735     All      1.1248958348767908         0.3606320450524336        0.08156694560510744       -0.24530590171871583      
Zeropoint     AB|PS|PS_z                5675.309386099826     All      0.9626104754407377         0.13038597708572297       0.2829787924329307        -0.25845485465527795      
Zeropoint     AB|PS|PS_g                3210.517063272569     All      -0.46381187594661344       0.09178706784958024       0.1974407660941051        0.18978772923488146       
Check         All|All|All               All                   All      0.988300341411032          0.9990574754800363        0.006524980838105543      0.003795132392125339      
Lambda        AB|PS|PS_r                4077.1387214619467    All      -0.000386285613927787      0.0002301633304927585     -0.0004887419444383385    0.0001789873934959261     
Lambda        AB|PS|PS_i                4938.298004944735     All      -0.00022058628333851594    -6.785132321088216e-05    -0.0009218056945289675    8.61484689809942e-06      
Lambda        AB|PS|PS_z                5675.309386099826     All      6.417574353462916e-05      1.4908127065193716e-05    0.0002227679936745704     -6.106971119224528e-06    
Lambda        AB|PS|PS_g                3210.517063272569     All      -0.0011646137280492878     0.00022843041898072832    0.00043487816997285397    0.00047316692388153005    
MWEBV         All|All|All               All                   All      -0.42223739484630896       -2.2630588931235707       0.13239745416142462       -0.5937078329176374       
Redshift      All|All|All               All                   All      5.810243593617114          0.40664092640074756       4.167950433330071         -1.5741346768241522       
