#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4077.1387214619467    All      -0.3923320621531779        0.40130365423820535       -0.36009544105573         0.24244385699242615       
Zeropoint     AB|PS|PS_i                4938.298004944735     All      1.1274111185692983         0.36563111128504744       0.1378335785364948        -0.24198593062695478      
Zeropoint     AB|PS|PS_z                5675.309386099826     All      0.8677239512322754         0.12869957594965342       0.07598358378242409       -0.2373337538450912       
Zeropoint     AB|PS|PS_g                3210.517063272569     All      -0.6121037758662298        0.10357556278499658       0.15866684836343126       0.2402008784615689        
Check         All|All|All               All                   All      0.9906992317821661         0.9992099042579028        0.01238856962662016       0.0033250509819490737     
Lambda        AB|PS|PS_r                4077.1387214619467    All      -0.0002532811573758938     0.00023196586529637754    -0.0006151195538423204    0.00013061095889116398    
Lambda        AB|PS|PS_i                4938.298004944735     All      -0.00029405872932333445    -8.776659529938386e-05    -0.0006837391823963893    3.668399545135025e-05     
Lambda        AB|PS|PS_z                5675.309386099826     All      -0.00022143876875089193    -4.109736319917974e-05    -0.0003083477932365284    4.4982983022250105e-05    
Lambda        AB|PS|PS_g                3210.517063272569     All      -0.0012599583404743612     0.00015614341346508213    -0.0002945702360693029    0.0004481256128983547     
MWEBV         All|All|All               All                   All      -0.48290614188784087       -2.2552215257878316       0.18059143266935251       -0.5692424617668695       
Redshift      All|All|All               All                   All      5.861195800801385          0.690944400651361         5.070288055426575         -1.4578573083246198       
