#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3432.0282427205893    All      -0.1950954001697695        0.07766873113270734        0.07293218369458439        0.09210287963147716        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5980.468308363658     All      0.058830216585522344       -0.0013058937193832776     -0.05869573328002795       -0.022207630542107313      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7286.141182852181     All      0.1001301158536815         -0.008829500121976253      0.10074080190572189        -0.030996132284877482      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4199.616846081183     All      -0.44558818468824385       0.28482336136193           -0.037799648406633274      0.23623224567376716        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5130.169903898588     All      0.3745185634124044         0.3312462749422984         -0.135397788846307         -0.020137389427377878      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7260.783368684416     All      0.43176128771446687        -0.06020649832505498       0.2699840027554868         -0.1482019471211792        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4587.687991904846     All      -0.28396275716823843       0.28562578396833516        0.028723471288014227       0.18681552335603635        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5938.5472756505815    All      1.010467119223329          0.019436650924831156       -0.10825793227022865       -0.32764228176531573       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5189.962939509796     All      0.04933190958325308        0.011882518222616767       -0.022313445039287463      -0.013194245384696643      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4196.642537609841     All      -0.1053455457154298        0.057063235291288095       -0.10854714285010508       0.048057922617672146       
Check         All|All|All                                All                   All      0.9950473246309754         0.9974046636775924         0.0013687689512178886      0.0008289447533986125      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3432.0282427205893    All      -0.00048658563380678786    0.00017436306385850084     0.00019977888064637213     0.00022420794928789634     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5980.468308363658     All      -8.269218510502891e-06     -1.0038423829463498e-07    -2.302298941709854e-05     1.6334477922038294e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7286.141182852181     All      -3.4637696458094525e-05    4.072276427868818e-06      -4.919950614582306e-05     1.0413563695109311e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4199.616846081183     All      -0.00028155848640992856    0.00010407243574000058     -0.00041227714921749536    0.00010721464257561313     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5130.169903898588     All      2.3841404216020875e-05     5.237110242811431e-05      -0.0011039536480449254     -3.9971319729661686e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7260.783368684416     All      -0.0002066272921909233     2.0266407743165233e-05     -0.0008439975963593436     3.624300626477474e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4587.687991904846     All      -0.0001078089855743016     7.2319595930165136e-06     -0.00044424990895451807    1.764778750506486e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5938.5472756505815    All      -0.00020294861953868245    1.8617992712000993e-05     -0.0007231821839866327     3.989923551938592e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5189.962939509796     All      1.600257276524815e-05      6.046176544501622e-06      -7.148338358571632e-05     -6.433100902928231e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4196.642537609841     All      -5.672701683842912e-05     1.9883099749096836e-05     -6.563336357324005e-05     2.2025519797391555e-05     
MWEBV         All|All|All                                All                   All      -0.9452540678928982        -3.81597355738581          0.08090924378555348        -0.9314771736463489        
Redshift      All|All|All                                All                   All      8.76900916832631           -0.6059003547130182        15.748306985552407         -2.3509418456086806        
