#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.662315041202     All      -0.8385809052436373       0.5169527076358982         -0.09151431915965236       0.4374580296920727         
Zeropoint     AB|CNIa02|SDSS_r                      6101.756538348417     All      1.1268477396674332        -0.09222658183256627       -0.08837700784560532       -0.4010364728256832        
Zeropoint     AB|CNIa02|SDSS_i                      7399.4462811758285    All      0.43597538691410903       -0.05965380596979486       0.1403070307867016         -0.15518147546127875       
Zeropoint     AB|CNIa02|SDSS_g                      4669.58873822435      All      -0.3036910318692305       0.37438391497213175        0.07310603286744821        0.22413370467237875        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.631133353881     All      0.5779783783184307        0.2576335244028449         -0.03554347883653053       -0.10593300016814022       
Check         All|All|All                           All                   All      0.9985295677871051        0.9970897592085137         -0.002021742187638398      -0.0005592140906507392     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.662315041202     All      -0.0003207673040912773    5.954625565809562e-05      -0.0006922546761914727     9.298849156714696e-05      
Lambda        AB|CNIa02|SDSS_r                      6101.756538348417     All      -3.06940659844608e-05     -2.652934822744357e-05     -0.00019023053189084975    -7.1325293524525024e-06    
Lambda        AB|CNIa02|SDSS_i                      7399.4462811758285    All      -2.770851631763805e-05    -3.078914680338485e-05     -0.00024539750616287226    -1.1954426329009868e-05    
Lambda        AB|CNIa02|SDSS_g                      4669.58873822435      All      3.767528417725506e-05     -8.976137851504805e-05     -0.00010890679013648265    -4.6370323433550895e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.631133353881     All      -3.686086914764083e-05    -2.3867145710984637e-05    -0.0007581992833761976     -2.9602468529603548e-05    
MWEBV         All|All|All                           All                   All      -0.8844099038009565       -4.043112240587732         0.021175857329874814       -1.0279482880562156        
Redshift      All|All|All                           All                   All      4.757274993719566         0.6068684991814344         2.0948814527029955         -1.258439001797336         
