#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.662315041202     All      -0.8582757726419086        0.5206955614812436         -0.11515439687986793       0.4440375184855408         
Zeropoint     AB|CNIa02|SDSS_r                      6101.756538348417     All      1.1917894554533792         -0.10941963740203065       -0.04457237470742158       -0.42583567042030185       
Zeropoint     AB|CNIa02|SDSS_i                      7399.4462811758285    All      0.44995398444474366        -0.06881208616098533       0.1316719667452069         -0.16310326096470218       
Zeropoint     AB|CNIa02|SDSS_g                      4669.58873822435      All      -0.3648421357870478        0.41698816037687436        0.05648323459391752        0.257188436255143          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.631133353881     All      0.5808377264176272         0.23730779253678946        -0.028793190620597837      -0.1131839091191725        
Check         All|All|All                           All                   All      0.9994632578867938         0.9967597908318915         -0.0003647608687629318     -0.0008968857634927552     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.662315041202     All      -0.00038742145775197374    0.00010424845496317995     -0.0006471605975612582     0.00013127326086295158     
Lambda        AB|CNIa02|SDSS_r                      6101.756538348417     All      -3.562361345265606e-05     -3.547445458274287e-05     -0.00032548503047737966    -1.4476316060419488e-05    
Lambda        AB|CNIa02|SDSS_i                      7399.4462811758285    All      -4.0405376287704877e-05    -3.2442102593011674e-05    -0.0002811741480288912     -9.953610614092801e-06     
Lambda        AB|CNIa02|SDSS_g                      4669.58873822435      All      -4.912598329471455e-06     -5.3019510604641835e-05    -0.00013660966141788538    -2.1766265762026282e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.631133353881     All      5.953009025471087e-05      -3.298477861020914e-05     -0.0006982349381486465     -6.12941548505813e-05      
MWEBV         All|All|All                           All                   All      -0.8855560178432458        -4.045015235400751         0.01731714486579141        -1.028367025638727         
Redshift      All|All|All                           All                   All      4.612668192924797          0.37209490834717585        2.7668901096321674         -1.257820631777855         
